,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK스퀘어,,,,
1,현금DPS,,,,
2,보통주수정주가(기말),,,"66,400","44,400"
3,펼치기 반도체,,3.08,1.60,2.19
4,현금배당,,"189,052","100,374","111,240"
5,보통주시가총액(기말),,"6,134,068","6,271,738","5,350,761"
6,펼치기 코스피,,2.02,1.77,2.37
7,현금배당,,"382,473","372,239","393,927"
8,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
