,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK스퀘어,,,0.56,
1,보통주수정주가(기말),,,"66,400","44,400"
2,BPS,,,"117,868",
3,펼치기 반도체,,1.82,1.58,1.21
4,보통주시가총액(기말),,"6,134,068","6,271,738","5,350,761"
5,자본총계(지배),,"3,373,486","3,970,168","4,229,387"
6,펼치기 코스피,,1.14,1.12,0.98
7,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
8,자본총계(지배),,"16,513,298","18,756,007","18,421,623"
