,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 금강공업,0.32,0.48,0.69,0.77
1,보통주수정주가(기말),"3,815","5,370","7,820","9,130"
2,BPS,"12,073","11,115","11,309","11,888"
3,"펼치기 건설,건축관련",0.76,0.83,0.85,0.80
4,보통주시가총액(기말),"442,678","503,899","583,105","563,097"
5,자본총계(지배),"585,822","605,025","685,602","514,288"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
