,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 경동도시가스,0.37,0.31,0.35,
1,보통주수정주가(기말),"21,250","18,600","22,600","24,850"
2,BPS,"57,586","60,510","63,687",
3,펼치기 유틸리티,0.32,0.31,0.33,0.38
4,보통주시가총액(기말),"277,686","272,001","290,430","291,280"
5,자본총계(지배),"867,476","890,154","843,001","663,464"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
