,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DB,0.80,0.48,0.41,
1,보통주수정주가(기말),880,796,950,966
2,BPS,"1,104","1,642","2,292",
3,펼치기 소프트웨어,2.56,3.61,3.38,2.10
4,보통주시가총액(기말),"1,083,152","1,731,243","2,709,744","1,828,694"
5,자본총계(지배),"423,219","479,790","800,505","773,359"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
