,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 KPX홀딩스,0.35,0.32,0.30,
1,보통주수정주가(기말),"54,400","60,400","63,500","61,300"
2,BPS,"154,553","189,480","208,904",
3,펼치기 화학,0.89,1.74,1.39,1.11
4,보통주시가총액(기말),"659,356","1,268,033","1,304,015","1,138,678"
5,자본총계(지배),"739,624","730,547","936,104","829,868"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
