,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 KR모터스,2.31,2.86,2.25,
1,보통주수정주가(기말),905,"1,135",865,792
2,BPS,392,396,385,
3,펼치기 자동차,0.56,0.74,0.76,0.63
4,보통주시가총액(기말),"992,101","1,316,472","1,479,934","1,343,681"
5,자본총계(지배),"1,764,811","1,775,333","1,936,625","1,869,823"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
