,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 F&F,,,13.21,5.47
1,보통주수정주가(기말),,,"189,000","126,000"
2,BPS,,,"14,307","23,035"
3,"펼치기 화장품,의류,완구",,1.93,1.61,1.42
4,보통주시가총액(기말),,"825,472","846,631","735,165"
5,자본총계(지배),,"428,015","526,540","372,892"
6,펼치기 코스피,,1.14,1.12,0.98
7,보통주시가총액(기말),,"18,907,113","21,081,576","19,822,206"
8,자본총계(지배),,"16,513,298","18,756,007","18,421,623"
