,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 JW홀딩스,4.02,3.65,2.53,
1,보통주수정주가(기말),"5,998","5,664","3,430","3,890"
2,BPS,"1,494","1,553","1,356",
3,펼치기 건강관리,3.52,6.26,4.40,3.86
4,보통주시가총액(기말),"1,442,065","3,016,243","2,639,277","2,206,860"
5,자본총계(지배),"409,871","481,780","599,382","387,367"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
