,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK가스,0.46,0.49,0.54,0.51
1,보통주수정주가(기말),"84,600","104,500","127,500","128,000"
2,BPS,"185,881","211,555","235,917","252,921"
3,펼치기 유틸리티,0.32,0.31,0.33,0.38
4,보통주시가총액(기말),"277,686","272,001","290,430","291,280"
5,자본총계(지배),"867,476","890,154","843,001","663,464"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
