,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 강원랜드,1.61,1.47,1.50,1.65
1,보통주수정주가(기말),"29,600","23,500","24,050","27,900"
2,BPS,"18,337","16,016","16,044","16,949"
3,"펼치기 호텔,레저서비스",1.94,1.89,2.04,2.06
4,보통주시가총액(기말),"178,055","160,315","168,530","174,054"
5,자본총계(지배),"91,809","84,995","82,470","73,023"
6,펼치기 코스피,0.90,1.14,1.12,0.98
7,보통주시가총액(기말),"14,149,369","18,907,113","21,081,576","19,822,206"
8,자본총계(지배),"15,774,811","16,513,298","18,756,007","18,421,623"
