Key,Data
전일 종가,42.88
금일 변동,43.03-44.05
매출,54.87M
금일 시가,43.03
52주 변동폭,41.83-65.59
주당순이익,5.52
거래량,"11,396"
총 시가,348.39M
배당금,"N/A
(N/A)"
평균 거래량,"16,336"
주가수익비율,7.95
베타,0.94
1년 변동률,-14.17%
발행주식수,"7,983,269"
다음 실적 발표일,2022년 7월 26일
