Key,Data
전일 종가,1.54
금일 변동,1.52-1.54
매출,10.05M
금일 시가,1.53
52주 변동폭,1.18-3.807
주당순이익,0.03
거래량,709
총 시가,11.83M
배당금,"0.20
(8.71%)"
평균 거래량,"30,784"
주가수익비율,56.42
베타,0.76
1년 변동률,-23.29%
발행주식수,"7,732,132"
다음 실적 발표일,-
