Key,Data
전일 종가,43.51
금일 변동,42.2-43.78
매출,3.04B
금일 시가,43.26
52주 변동폭,40.08-54.79
주당순이익,3.09
거래량,"36,361"
총 시가,1.14B
배당금,"1.32
(3.03%)"
평균 거래량,"45,508"
주가수익비율,14.08
베타,0.68
1년 변동률,-11.37%
발행주식수,"26,267,049"
다음 실적 발표일,2022년 8월 04일
