Key,Data
전일 종가,34.13
금일 변동,34-35.78
매출,593.59M
금일 시가,34
52주 변동폭,33.04-60.14
주당순이익,3.18
거래량,"17,530"
총 시가,260.2M
배당금,"0.62
(1.74%)"
평균 거래량,"34,065"
주가수익비율,10.75
베타,0.8
1년 변동률,-32.48%
발행주식수,"7,313,075"
다음 실적 발표일,2022년 8월 02일
