Key,Data
전일 종가,217.83
금일 변동,212.99-231.27
매출,1.14B
금일 시가,215.1
52주 변동폭,181-324.81
주당순이익,0.61
거래량,"1,215,836"
총 시가,15.39B
배당금,"N/A
(N/A)"
평균 거래량,"591,291"
주가수익비율,359.30
베타,0.75
1년 변동률,-15.17%
발행주식수,"69,339,638"
다음 실적 발표일,2022년 8월 04일
