Key,Data
전일 종가,1.282
금일 변동,1.16-1.342
매출,-
금일 시가,1.28
52주 변동폭,1.16-7.45
주당순이익,-2.05
거래량,"312,219"
총 시가,11.99M
배당금,"0.15
(N/A)"
평균 거래량,"166,834"
주가수익비율,-
베타,1.47
1년 변동률,-83.08%
발행주식수,"9,994,989"
다음 실적 발표일,2022년 8월 10일
