Key,Data
전일 종가,95.02
금일 변동,94.39-98.05
매출,1.49B
금일 시가,94.55
52주 변동폭,90.51-220.51
주당순이익,5.22
거래량,"427,483"
총 시가,5.03B
배당금,"N/A
(N/A)"
평균 거래량,"716,691"
주가수익비율,18.21
베타,1.33
1년 변동률,-54.22%
발행주식수,"51,872,637"
다음 실적 발표일,2022년 8월 02일
