Key,Data
전일 종가,0.6111
금일 변동,0.61-0.6825
매출,15.92M
금일 시가,0.61
52주 변동폭,0.61-2
주당순이익,-0.16
거래량,"6,383"
총 시가,24.65M
배당금,"N/A
(N/A)"
평균 거래량,"18,498"
주가수익비율,-
베타,1.19
1년 변동률,-49.07%
발행주식수,"36,113,940"
다음 실적 발표일,2022년 5월 26일
