Key,Data
전일 종가,21.18
금일 변동,20.92-21.47
매출,1B
금일 시가,20.96
52주 변동폭,20.21-54.5
주당순이익,1.47
거래량,"245,521"
총 시가,742.11M
배당금,"0.20
(0.94%)"
평균 거래량,"281,389"
주가수익비율,14.39
베타,1.74
1년 변동률,-45.27%
발행주식수,"35,038,437"
다음 실적 발표일,2022년 8월 04일
