Key,Data
전일 종가,1.94
금일 변동,1.7299-1.93
매출,114.18M
금일 시가,1.9
52주 변동폭,1.67-12.36
주당순이익,-1.93
거래량,"72,663"
총 시가,6.47M
배당금,"N/A
(N/A)"
평균 거래량,"72,725"
주가수익비율,-
베타,0.7
1년 변동률,-84.23%
발행주식수,"3,479,314"
다음 실적 발표일,2022년 6월 28일
