Key,Data
전일 종가,3.52
금일 변동,3.305-3.51
매출,224.39M
금일 시가,3.47
52주 변동폭,2.3-5.55
주당순이익,-0.37
거래량,"1,184,496"
총 시가,462.95M
배당금,"N/A
(N/A)"
평균 거래량,"2,063,250"
주가수익비율,-
베타,0.85
1년 변동률,7.72%
발행주식수,"138,193,658"
다음 실적 발표일,2022년 7월 27일
