Key,Data
전일 종가,60.08
금일 변동,59.87-60.53
매출,1.06B
금일 시가,59.9
52주 변동폭,42.58-65.95
주당순이익,1.84
거래량,"123,948"
총 시가,1.87B
배당금,"1.06
(1.76%)"
평균 거래량,"215,264"
주가수익비율,32.64
베타,0.79
1년 변동률,35.44%
발행주식수,"31,109,938"
다음 실적 발표일,2022년 8월 03일
