Key,Data
전일 종가,49.89
금일 변동,48.44-50.31
매출,1.94B
금일 시가,49.58
52주 변동폭,44.02-102.32
주당순이익,-2.06
거래량,"204,087"
총 시가,2.25B
배당금,"N/A
(N/A)"
평균 거래량,"387,584"
주가수익비율,-
베타,1.21
1년 변동률,-45.25%
발행주식수,"45,061,675"
다음 실적 발표일,2022년 8월 08일
