Key,Data
전일 종가,5.5
금일 변동,5.5-5.6
매출,13.24M
금일 시가,5.5
52주 변동폭,5.06-9.36
주당순이익,0.43
거래량,"5,985"
총 시가,29.71M
배당금,"0.48
(8.71%)"
평균 거래량,"13,064"
주가수익비율,12.84
베타,0.96
1년 변동률,-26.92%
발행주식수,"5,391,488"
다음 실적 발표일,2022년 8월 12일
