Key,Data
전일 종가,31.29
금일 변동,31.22-31.95
매출,290.49M
금일 시가,31.22
52주 변동폭,26.11-37.62
주당순이익,1.53
거래량,"88,607"
총 시가,460.46M
배당금,"N/A
(N/A)"
평균 거래량,"93,130"
주가수익비율,20.49
베타,0.68
1년 변동률,1.5%
발행주식수,"14,479,780"
다음 실적 발표일,2022년 8월 04일
