Key,Data
전일 종가,19.59
금일 변동,18.67-19.38
매출,10.69B
금일 시가,19.38
52주 변동폭,18.67-29.1
주당순이익,1.68
거래량,"4,479,225"
총 시가,7.79B
배당금,"0.92
(4.89%)"
평균 거래량,"3,126,045"
주가수익비율,11.21
베타,0.77
1년 변동률,-33.35%
발행주식수,"413,500,000"
다음 실적 발표일,2022년 8월 05일
