Key,Data
전일 종가,58.93
금일 변동,57.53-59.51
매출,986.59M
금일 시가,58.76
52주 변동폭,42.66-60.54
주당순이익,3.93
거래량,"120,813"
총 시가,1.18B
배당금,"N/A
(N/A)"
평균 거래량,"131,497"
주가수익비율,14.98
베타,0.64
1년 변동률,6.39%
발행주식수,"19,941,900"
다음 실적 발표일,2022년 8월 02일
