Key,Data
전일 종가,13.28
금일 변동,12.88-13.2
매출,8.49B
금일 시가,13.15
52주 변동폭,10.1-19.07
주당순이익,0.29
거래량,"703,581"
총 시가,8.82B
배당금,"0.503
(4.96%)"
평균 거래량,"1,023,756"
주가수익비율,46.13
베타,0.31
1년 변동률,-27.59%
발행주식수,"678,539,948"
다음 실적 발표일,2022년 7월 29일
