Key,Data
전일 종가,40.58
금일 변동,40.22-43.32
매출,1.13B
금일 시가,40.22
52주 변동폭,40.03-59.96
주당순이익,5.86
거래량,"157,693"
총 시가,1.24B
배당금,"N/A
(N/A)"
평균 거래량,"384,745"
주가수익비율,6.93
베타,2.6
1년 변동률,8.8%
발행주식수,"28,980,488"
다음 실적 발표일,2022년 8월 10일
