종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"255220","SG","우량기업부","2365","-20","-0.84","2360","2410","2320","1039992","2460983480","91307754450","38607930"
"040610","SG&G","중견기업부","2775","-100","-3.48","2875","2885","2760","360255","1014279025","94591968900","34087196"
"049470","SGA","벤처기업부","1015","-25","-2.40","1030","1040","999","597479","609883230","51462782735","50702249"
"184230","SGA솔루션즈","벤처기업부","1400","10","0.72","1380","1440","1370","447628","625323785","54521047000","38943605"
"016250","SGC이테크건설","우량기업부","62000","100","0.16","61100","63300","59500","58550","3599156400","125503314000","2024247"
"307070","SK4호스팩","SPAC(소속부없음)","2060","5","0.24","2065","2065","2050","7299","14988390","10629600000","5160000"
"337450","SK5호스팩","SPAC(소속부없음)","2130","-5","-0.23","2105","2140","2105","310","654710","9180300000","4310000"
"340350","SK6호스팩","SPAC(소속부없음)","2105","-10","-0.47","2120","2120","2040","11761","24399095","12019550000","5710000"
"036490","SK머티리얼즈","우량기업부","335800","-5800","-1.70","341700","346800","334500","31498","10678283300","3541908593400","10547673"
"048550","SM C&C","중견기업부","1730","15","0.87","1715","1750","1710","293657","508254220","163675507600","94610120"
"063440","SM Life Design","중견기업부","2980","80","2.76","2985","3125","2955","10309178","31438613735","134484878920","45129154"
"950180","SNK","외국기업(소속부없음)","21600","-50","-0.23","21450","22750","21450","186056","4088846750","454934880000","21061800"
"289080","SV인베스트먼트","벤처기업부","4495","-60","-1.32","4540","4630","4440","568746","2573619620","239286830000","53234000"
"089230","THE E&M","중견기업부","1125","-30","-2.60","1170","1170","1115","2279584","2591263905","188833448250","167851954"
"161570","THE MIDONG","중견기업부","1820","-5","-0.27","1825","1880","1800","92789","169862465","28360750600","15582830"
"192410","THQ","중견기업부","4305","15","0.35","4305","4410","4145","460506","1978372495","124122341175","28832135"
"032540","TJ미디어","중견기업부","3865","-110","-2.77","3935","3955","3700","20827","80813730","53845668785","13931609"
"048770","TPC","중견기업부","4225","-55","-1.29","4320","4320","4155","161846","685044265","60191479400","14246504"
"246690","TS인베스트먼트","벤처기업부","4210","-20","-0.47","4230","4395","4130","607566","2581619400","110414870100","26226810"
"317240","TS트릴리온","벤처기업부","1355","0","0.00","1375","1380","1340","177711","240961135","122423283885","90349287"
"038340","UCI","투자주의환기종목(소속부없음)","445","0","0.00","0","0","0","0","0","16641828315","37397367"
"073570","WI","중견기업부","1370","45","3.40","1325","1390","1280","1921521","2560826485","107729423920","78634616"
"057030","YBM넷","중견기업부","8320","-450","-5.13","8650","8700","8320","423235","3579187640","135721639040","16312697"
"040300","YTN","중견기업부","3900","-35","-0.89","4010","4010","3855","22353","87799805","163800000000","42000000"
"051390","YW","중견기업부","4490","-45","-0.99","4530","4530","4350","40482","180019885","50985602320","11355368"
"052220","iMBC","중견기업부","4015","10","0.25","4005","4115","3810","302931","1220666365","92345000000","23000000"
"079940","가비아","우량기업부","14750","0","0.00","14750","15050","14350","63644","938229150","199651339000","13535684"
"078890","가온미디어","우량기업부","12900","-300","-2.27","13300","13550","12800","596363","7839595300","204490103400","15851946"
"036620","감성코퍼레이션","중견기업부","1210","75","6.61","1115","1235","1095","2531796","3011522785","85601873500","70745350"
"217730","강스템바이오텍","기술성장기업부","6990","-10","-0.14","7000","7080","6920","122730","857434020","178676199120","25561688"
"114190","강원","관리종목(소속부없음)","2500","0","0.00","0","0","0","0","0","45387277500","18154911"
"094480","갤럭시아머니트리","우량기업부","7110","130","1.86","6990","7490","6910","1581304","11383587380","278924148180","39229838"
"063080","게임빌","우량기업부","46600","-900","-1.89","48500","49500","44000","138368","6546447100","307335947200","6595192"
"039240","경남스틸","우량기업부","3960","30","0.76","3960","4140","3940","882829","3553869255","99000000000","25000000"
"053950","경남제약","중견기업부","7030","-140","-1.95","7170","7170","6900","101944","717592290","122621246010","17442567"
"223310","경남제약헬스케어","관리종목(소속부없음)","3320","0","0.00","0","0","0","0","0","37836250520","11396461"
"011040","경동제약","우량기업부","10500","-200","-1.87","10600","10700","10450","150774","1588934900","323072043000","30768766"
"024910","경창산업","중견기업부","3170","-30","-0.94","3200","3260","3120","81864","261105725","113546245850","35819005"
"198440","고려시멘트","우량기업부","3750","-55","-1.45","3835","3845","3730","505974","1907201585","119924850000","31979960"
"049720","고려신용정보","중견기업부","7060","-230","-3.16","7290","7300","7010","123957","878799720","100958000000","14300000"
"014570","고려제약","중견기업부","11050","-300","-2.64","11350","11400","11000","126203","1402861350","121550000000","11000000"
"348150","고바이오랩","기술성장기업부","35800","-750","-2.05","37000","37150","35400","136791","4944134050","578583239400","16161543"
"098460","고영","우량기업부","27550","950","3.57","26900","27800","26700","324988","8872721650","1891438500250","68654755"
"035290","골드앤에스","투자주의환기종목(소속부없음)","1305","0","0.00","0","0","0","0","0","47272202550","36223910"
"038530","골드퍼시픽","중견기업부","1380","25","1.85","1355","1400","1330","1329856","1815344805","106161447300","76928585"
"900280","골든센츄리","외국기업(소속부없음)","491","4","0.82","514","524","472","24407766","12108776772","77960980000","158780000"
"215000","골프존","중견기업부","99500","2300","2.37","101200","102100","95000","241860","23791173500","624403792500","6275415"
"121440","골프존뉴딘홀딩스","중견기업부","7560","160","2.16","7340","7650","7200","461150","3437095140","323846344080","42836818"
"014200","광림","중견기업부","2685","215","8.70","2415","2700","2380","1518505","3908778910","142096198290","52922234"
"026910","광진실업","중견기업부","5220","-170","-3.15","5390","5390","5100","245393","1279901210","33436214100","6405405"
"090150","광진윈텍","중견기업부","4335","-175","-3.88","4460","4465","4325","45768","201115950","41869133655","9658393"
"355150","교보10호스팩","SPAC(소속부없음)","2100","-45","-2.10","2155","2155","2095","946","1993470","11172000000","5320000"
"331520","교보9호스팩","SPAC(소속부없음)","2140","-20","-0.93","2165","2165","2140","1025","2194285","8303200000","3880000"
"053270","구영테크","우량기업부","3750","-60","-1.57","3760","3855","3705","406144","1531660990","98978152500","26394174"
"066620","국보디자인","우량기업부","23000","-200","-0.86","23000","23450","22700","27943","640831850","172500000000","7500000"
"043650","국순당","중견기업부","8430","-80","-0.94","8440","8670","8350","48112","407330260","150545502720","17858304"
"006050","국영지앤엠","중견기업부","2825","0","0.00","2885","3030","2820","2193918","6385059065","98579061475","34895243"
"060480","국일신동","중견기업부","4910","-90","-1.80","4960","5180","4840","428761","2145839105","54451900000","11090000"
"078130","국일제지","중견기업부","6560","-70","-1.06","6670","6780","6500","2853762","18980954010","834349403040","127187409"
"307750","국전약품","중견기업부","7610","70","0.93","7540","7610","7260","106199","789397590","293274324590","38538019"
"204020","그리티","우량기업부","3105","0","0.00","3105","3150","3070","157083","488350645","62557770150","20147430"
"186230","그린플러스","벤처기업부","17300","400","2.37","16550","18200","16300","2044861","35549735350","166213936600","9607742"
"900070","글로벌에스엠","외국기업(소속부없음)","1190","-15","-1.24","1220","1220","1180","356702","428018015","63955321920","53743968"
"204620","글로벌텍스프리","벤처기업부","3305","85","2.64","3275","3320","3225","493045","1619537895","161074763755","48736691"
"019660","글로본","중견기업부","4360","-90","-2.02","4590","4590","4295","339293","1489364945","142852430840","32764319"
"053260","금강철강","우량기업부","7730","10","0.13","7870","8030","7700","445378","3500396250","144705600000","18720000"
"036190","금화피에스시","우량기업부","32700","250","0.77","32250","32900","32150","5737","186644750","196200000000","6000000"
"049080","기가레인","중견기업부","1820","25","1.39","1795","1850","1735","371476","666696370","131130335700","72049635"
"035460","기산텔레콤","벤처기업부","2915","35","1.22","2880","2975","2865","177509","516375700","42492946100","14577340"
"308100","까스텔바작","우량기업부","13200","-250","-1.86","13300","13600","13200","41098","548623700","87076440000","6596700"
"187790","나노","벤처기업부","1765","50","2.92","1725","1770","1705","597968","1040558865","45533214075","25797855"
"286750","나노브릭","기술성장기업부","9400","-70","-0.74","9380","9440","9290","25545","239148770","86155568400","9165486"
"151910","나노스","중견기업부","10800","-50","-0.46","10900","11200","10300","821111","8843989750","1605153747600","148625347"
"121600","나노신소재","벤처기업부","31150","-1250","-3.86","32450","33000","30700","236891","7470947600","337925572950","10848333"
"247660","나노씨엠에스","기술성장기업부","16900","-450","-2.59","17350","17500","16600","96042","1628631050","71130748000","4208920"
"039860","나노엔텍","중견기업부","11700","900","8.33","10950","11900","10800","3413935","39192889050","313517025900","26796327"
"091970","나노캠텍","중견기업부","2115","-40","-1.86","2160","2170","2105","292851","625308300","59390098875","28080425"
"051490","나라엠앤디","중견기업부","9890","10","0.10","9840","10050","9840","100905","1003203520","140438000000","14200000"
"190510","나무가","중견기업부","9020","-230","-2.49","9260","9380","9020","105378","962850010","123954463600","13742180"
"242040","나무기술","기술성장기업부","3135","55","1.79","3080","3145","3020","428368","1328864430","101576069100","32400660"
"089600","나스미디어","우량기업부","36100","-1000","-2.70","37150","37600","36000","78747","2862340000","346737251000","9604910"
"293580","나우IB","중견기업부","14050","-1000","-6.64","15050","15400","13850","478990","7015931200","133194000000","9480000"
"138610","나이벡","기술성장기업부","35300","-850","-2.35","35900","36350","35250","50153","1785458900","349575158700","9902979"
"130580","나이스디앤비","벤처기업부","10450","-50","-0.48","10500","10600","10300","18426","192161500","160930000000","15400000"
"036800","나이스정보통신","우량기업부","31750","100","0.32","31400","31950","31400","36970","1171955750","317500000000","10000000"
"267320","나인테크","벤처기업부","4665","10","0.21","4660","4780","4590","397526","1862938475","183784924410","39396554"
"111710","남화산업","중견기업부","9960","-140","-1.39","10100","10100","9930","50234","501669990","205056480000","20588000"
