종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2875","-25","-0.86","2900","2930","2790","318531","910872340","131320052500","45676540"
"095570","AJ네트웍스","KOSPI",,"5340","70","1.33","5270","5370","5120","106495","560968230","250031055300","46822295"
"006840","AK홀딩스","KOSPI",,"30250","1600","5.58","28950","30700","28600","207176","6207923850","400738720250","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","12000","-100","-0.83","12100","12450","11250","264487","3168242200","244730652000","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","28550","-600","-2.06","29250","29400","27850","282460","8081729350","413410480850","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","14300","100","0.70","14200","14800","13850","178134","2556274050","215676947200","15082304"
"027410","BGF","KOSPI",,"6940","-100","-1.42","7040","7080","6920","320479","2237052650","664274529540","95716791"
"282330","BGF리테일","KOSPI",,"149500","-2000","-1.32","151000","154000","148500","35075","5274241500","2583943947000","17283906"
"138930","BNK금융지주","KOSPI",,"7320","-10","-0.14","7400","7400","7240","1600780","11710513040","2385846000720","325935246"
"001460","BYC","KOSPI",,"365000","-1000","-0.27","365000","367000","362500","148","54049500","227984475000","624615"
"001465","BYC우","KOSPI",,"160500","0","0.00","159500","160500","158000","208","33225500","34569292500","215385"
"001040","CJ","KOSPI",,"96400","200","0.21","96200","97600","95500","67349","6497082000","2812662607200","29176998"
"079160","CJ CGV","KOSPI",,"25900","450","1.77","25500","25900","25050","236817","6059970200","909090000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","141000","-800","-0.56","141800","143000","140300","61145","8666176000","3092010714000","21929154"
"00104K","CJ4우(전환)","KOSPI",,"77700","-100","-0.13","77800","78400","77100","5163","400190100","328399982400","4226512"
"000120","CJ대한통운","KOSPI",,"174000","-4500","-2.52","178500","179500","173000","52779","9234745000","3969347856000","22812344"
"011150","CJ씨푸드","KOSPI",,"4465","-55","-1.22","4525","4555","4425","382636","1712933715","160430901445","35930773"
"011155","CJ씨푸드1우","KOSPI",,"41300","2300","5.90","39400","41300","39150","1009","40933950","8260000000","200000"
"001045","CJ우","KOSPI",,"61000","200","0.33","61000","61300","60500","4213","256669900","137873603000","2260223"
"097950","CJ제일제당","KOSPI",,"400000","-6000","-1.48","405000","407500","399500","38024","15278842500","6021674400000","15054186"
"097955","CJ제일제당 우","KOSPI",,"187500","-1500","-0.79","189000","190000","185500","4789","899376500","248893687500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","23600","-350","-1.46","23800","24050","23400","59865","1421270000","280169429600","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4440","-85","-1.88","4535","4560","4385","1277725","5696602510","616681563360","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3650","-45","-1.22","3605","3725","3600","104492","382570220","135780000000","37200000"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","7170","100","1.41","7170","7350","6980","1562181","11156699550","135048025500","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1885","435","30.00","1885","1885","1885","358254","675308790","69880804825","37072045"
"000590","CS홀딩스","KOSPI",,"74500","0","0.00","75000","75000","71500","5100","373400300","86008909000","1154482"
"012030","DB","KOSPI",,"920","0","0.00","920","929","903","1054428","968220691","185080018360","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2150","10","0.47","2140","2150","2135","612","1314395","13007500000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2080","5","0.24","2080","2080","2070","252","521825","10067200000","4840000"
"016610","DB금융투자","KOSPI",,"7000","-50","-0.71","7060","7090","6830","212906","1486451210","297124723000","42446389"
"005830","DB손해보험","KOSPI",,"48000","-1050","-2.14","49100","49600","47950","186276","9017957500","3398400000000","70800000"
"000990","DB하이텍","KOSPI",,"57200","1000","1.78","56400","58300","55500","850744","48617200400","2539599233600","44398588"
"000995","DB하이텍1우","KOSPI",,"121000","3500","2.98","117500","121000","116000","497","59374500","13590236000","112316"
"139130","DGB금융지주","KOSPI",,"8490","-110","-1.28","8630","8670","8450","729315","6208371660","1436048122170","169145833"
"001530","DI동일","KOSPI",,"183500","-2000","-1.08","185000","188000","178500","20271","3704719000","460705192500","2510655"
"000210","DL","KOSPI",,"98200","-1600","-1.60","101000","103500","97700","347749","34797039600","1516331928400","15441262"
"001880","DL건설","KOSPI",,"36500","450","1.25","36050","36600","35500","127564","4635994550","804944866000","22053284"
"000215","DL우","KOSPI",,"54700","-300","-0.55","56000","56500","53700","19641","1085038600","92230490500","1686115"
"375500","DL이앤씨","KOSPI",,"135500","1500","1.12","134500","137500","132000","290115","39252152500","2623108999000","19358738"
"37550K","DL이앤씨우","KOSPI",,"79200","200","0.25","80100","80300","77100","24678","1948579300","167419692000","2113885"
"068790","DMS","KOSDAQ","우량기업부","8500","-180","-2.07","8740","8760","8390","347344","2964327410","208871018500","24573061"
"004840","DRB동일","KOSPI",,"7110","-10","-0.14","7120","7160","6910","51032","360244800","141702300000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","6080","-200","-3.18","6220","6390","6080","613107","3775420710","168281431360","27677867"
"155660","DSR","KOSPI",,"7270","70","0.97","7200","7350","7070","191578","1387399820","116320000000","16000000"
"069730","DSR제강","KOSPI",,"6200","70","1.14","6110","6450","6090","470698","2949379680","89280000000","14400000"
"017940","E1","KOSPI",,"46250","550","1.20","45400","46900","45000","48301","2236305400","317275000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","5620","360","6.84","5320","5750","5170","11302328","62633786850","469516577500","83543875"
"037370","EG","KOSDAQ","중견기업부","10950","-50","-0.45","11000","11050","10750","38397","419453950","82125000000","7500000"
"278990","EMB","KONEX","일반기업부","6380","580","10.00","5610","6380","5610","202","1270730","23122536360","3624222"
"079190","EMW","KOSDAQ","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"6450","-30","-0.46","6440","6490","6440","331091","2141721080","924020550000","143259000"
"050120","ES큐브","KOSDAQ","중견기업부","5760","-180","-3.03","5940","5940","5350","165754","947435500","78129135360","13564086"
"007700","F&F","KOSPI",,"180000","0","0.00","0","0","0","0","0","2772000000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","7140","100","1.42","7080","7210","6970","695444","4927879850","78540000000","11000000"
"114090","GKL","KOSPI",,"15950","50","0.31","16000","16150","15800","403703","6439926500","986597936500","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"44250","-650","-1.45","45100","45250","43950","338606","15072828600","4111505476500","92915378"
"083450","GST","KOSDAQ","우량기업부","25450","-650","-2.49","26100","26150","24650","267368","6774344600","237136610250","9317745"
"006360","GS건설","KOSPI",,"46800","-250","-0.53","46150","47800","45750","1510795","70544161750","4000972622400","85490868"
"001250","GS글로벌","KOSPI",,"2940","-60","-2.00","3015","3130","2915","7603131","22955717835","242649266160","82533764"
"007070","GS리테일","KOSPI",,"36300","-500","-1.36","36800","37250","36300","260113","9515569400","2795100000000","77000000"
"078935","GS우","KOSPI",,"35950","-150","-0.42","35850","36100","35600","10512","377342450","64164494700","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","148200","-400","-0.27","149800","149800","147600","19162","2849346800","972562500000","6562500"
"045890","GV","KOSDAQ","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","KOSDAQ","우량기업부","3370","0","0.00","3385","3455","3315","1171033","3961093715","266197735620","78990426"
"012630","HDC","KOSPI",,"11850","0","0.00","11800","11900","11650","280593","3314042500","707939393850","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"10750","0","0.00","10650","10850","10550","91109","971391450","176945000000","16460000"
"089470","HDC현대EP","KOSPI",,"5990","-20","-0.33","6020","6050","5940","86496","518329530","191081000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"28150","150","0.54","28050","28600","27750","754633","21285170850","1855291339500","65907330"
"011200","HMM","KOSPI",,"39950","650","1.65","39600","40500","38200","12154736","478983772850","13798429855650","345392487"
"036640","HRS","KOSDAQ","중견기업부","6020","-50","-0.82","6070","6130","5940","110927","668949220","98455896000","16354800"
"082740","HSD엔진","KOSPI",,"9150","-170","-1.82","9220","9330","8950","1288782","11788929630","371484711300","40599422"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2205","0","0.00","2205","2205","2170","5808","12691560","6879600000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2165","0","0.00","2170","2170","2150","4767","10249085","11193050000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","2200","50","2.33","2150","2220","2150","14159","31018725","9526000000","4330000"
"373200","IBKS제15호스팩","KOSDAQ","SPAC(소속부없음)","2165","-5","-0.23","2150","2165","2150","295","634265","7620800000","3520000"
"003560","IHQ","KOSPI",,"2210","-130","-5.56","2495","2520","2185","6952814","16396467080","323181003080","146235748"
"095340","ISC","KOSDAQ","우량기업부","22600","-950","-4.03","23700","24000","22400","426491","9758079100","366668004800","16224248"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"175330","JB금융지주","KOSPI",,"7040","-140","-1.95","7200","7270","7030","588179","4188379590","1386759573760","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","4880","0","0.00","4880","4925","4810","46138","224488770","170826922960","35005517"
"234080","JW생명과학","KOSPI",,"19700","200","1.03","19600","19800","19500","88867","1747620700","311940713800","15834554"
"067290","JW신약","KOSDAQ","중견기업부","5180","-40","-0.77","5230","5280","5120","152058","791478670","227592924440","43936858"
"001060","JW중외제약","KOSPI",,"29350","150","0.51","29200","29550","29150","50159","1470602700","632196828100","21539926"
"001067","JW중외제약2우B","KOSPI",,"71100","300","0.42","71300","71300","69300","467","32876700","6614290800","93028"
"001065","JW중외제약우","KOSPI",,"40600","-700","-1.69","41000","42000","40600","1456","60118900","7205931600","177486"
"096760","JW홀딩스","KOSPI",,"4895","-30","-0.61","4910","4950","4860","102462","503257965","335019585890","68441182"
"035900","JYP Ent.","KOSDAQ","우량기업부","33350","0","0.00","33600","33750","33000","198668","6623647600","1183841358200","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","2585","55","2.17","2530","2665","2515","1433846","3733217500","85177942080","32950848"
"105560","KB금융","KOSPI",,"53900","-1100","-2.00","55300","55400","53900","1127318","61521175600","22412046888000","415807920"
"024120","KB오토시스","KOSDAQ","우량기업부","9400","-60","-0.63","9500","9600","9310","34123","323205460","108100000000","11500000"
"002380","KCC","KOSPI",,"325000","10000","3.17","313500","325500","313000","42535","13694437000","2888103075000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","11250","200","1.81","11100","11350","10850","96572","1077015750","240750000000","21400000"
"036670","KCI","KOSDAQ","우량기업부","9670","-150","-1.53","9850","9850","9610","42388","412630530","108980900000","11270000"
"009070","KCTC","KOSPI",,"8970","2070","30.00","6910","8970","6740","44703242","364810066850","269100000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"4590","-80","-1.71","4670","4780","4585","101242","470404400","102976558200","22434980"
"112190","KC산업","KONEX","일반기업부","3930","35","0.90","3985","3990","3775","12760","50400165","28002244290","7125253"
"119650","KC코트렐","KOSPI",,"7710","-80","-1.03","7750","7860","7660","83168","645142450","100230000000","13000000"
"044180","KD","KOSDAQ","중견기업부","2170","80","3.83","2025","2225","2010","1453233","3092486485","35860031200","16525360"
"092220","KEC","KOSPI",,"2265","-15","-0.66","2250","2320","2215","1350039","3048292735","264341219100","116706940"
"151860","KG ETS","KOSDAQ","우량기업부","6970","130","1.90","6840","7020","6750","1403018","9691186410","250920000000","36000000"
"016380","KG동부제철","KOSPI",,"20900","-450","-2.11","21450","22600","20500","2108208","45468175250","2090185947300","100008897"
"016385","KG동부제철우","KOSPI",,"156500","-5500","-3.40","137500","161500","137500","6151","948546500","8354752500","53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부","11200","250","2.28","11300","11350","10900","965481","10789564550","434846361600","38825568"
"035600","KG이니시스","KOSDAQ","우량기업부","20050","-150","-0.74","20300","20450","19750","233838","4687965450","559483901700","27904434"
"001390","KG케미칼","KOSPI",,"29100","-150","-0.51","29450","30100","28300","266269","7783579450","403503393600","13866096"
"226360","KH E&T","KOSDAQ","벤처기업부","2050","-70","-3.30","2105","2115","2030","502271","1032431005","111385731150","54334503"
"111870","KH 일렉트론","KOSDAQ","중견기업부","1195","10","0.84","1185","1215","1180","581043","694874750","115343580875","96521825"
"033180","KH 필룩스","KOSPI",,"3900","130","3.45","3800","4020","3800","8357706","32819433460","505184316000","129534440"
"060720","KH바텍","KOSDAQ","중견기업부","22150","-650","-2.85","22900","23000","21900","323300","7192986800","524376951450","23673903"
"001940","KISCO홀딩스","KOSPI",,"20600","1550","8.14","19400","21300","19300","244884","4958297950","380613428000","18476380"
"122450","KMH","KOSDAQ","중견기업부","11400","-350","-2.98","11800","12000","11400","329038","3823430200","516829989600","45335964"
"052900","KMH하이텍","KOSDAQ","중견기업부","1960","-30","-1.51","1985","2015","1945","786378","1554497625","91895578040","46885499"
"058400","KNN","KOSDAQ","우량기업부","1890","5","0.27","1900","1915","1860","665820","1256454130","250292170800","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","12700","-300","-2.31","13150","13250","12250","3671158","46502470450","190500000000","15000000"
"025000","KPX케미칼","KOSPI",,"70700","-500","-0.70","71200","71900","69800","9461","668872600","342188000000","4840000"
"092230","KPX홀딩스","KOSPI",,"67300","-500","-0.74","67800","68200","66300","13556","909708100","284318675800","4224646"
"000040","KR모터스","KOSPI",,"1265","-20","-1.56","1295","1300","1230","815097","1033120235","121613770520","96137368"
"044450","KSS해운","KOSPI",,"12600","0","0.00","12800","12850","12100","202567","2517896550","292142088000","23185880"
"030200","KT","KOSPI",,"28950","200","0.70","28750","29250","28500","1028066","29737666100","7559186841600","261111808"
