종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"033780","KT&G","KOSPI",,"82500","-400","-0.48","83000","83300","82500","356717","29553743650","11326631002500","137292497"
"030210","KTB투자증권","KOSPI",,"5740","-140","-2.38","5880","5920","5690","2134490","11723705470","346202888080","60314092"
"036030","KTH","KOSDAQ","중견기업부","12200","600","5.17","12200","12600","11800","3281509","40133719200","435723268400","35715022"
"058850","KTcs","KOSPI",,"2915","-15","-0.51","2955","2965","2860","516761","1503797490","124426775000","42685000"
"058860","KTis","KOSPI",,"2915","-5","-0.17","2925","2940","2850","177899","514805580","101447830000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","6220","-20","-0.32","6240","6290","6100","228618","1418880960","136218000000","21900000"
"093050","LF","KOSPI",,"18350","50","0.27","18450","18450","17800","139198","2529901700","536554000000","29240000"
"003550","LG","KOSPI",,"126500","0","0.00","0","0","0","0","0","21828477071500","172557131"
"034220","LG디스플레이","KOSPI",,"25250","-950","-3.63","25700","26350","25200","6269690","160658229500","9034846425000","357815700"
"001120","LG상사","KOSPI",,"30800","300","0.98","30750","31100","30200","259895","7989437600","1193808000000","38760000"
"051900","LG생활건강","KOSPI",,"1531000","-19000","-1.23","1558000","1570000","1528000","37948","58385452300","23911459607000","15618197"
"051905","LG생활건강우","KOSPI",,"712000","3000","0.42","708000","712000","703000","5887","4168082000","1494984264000","2099697"
"003555","LG우","KOSPI",,"99500","0","0.00","0","0","0","0","0","329810361500","3314677"
"032640","LG유플러스","KOSPI",,"13250","-50","-0.38","13300","13400","13050","2282844","30197289450","5785100533250","436611361"
"011070","LG이노텍","KOSPI",,"206000","-5500","-2.60","213000","214000","204000","237301","49547308000","4875424042000","23667107"
"066570","LG전자","KOSPI",,"162000","-2000","-1.22","165000","165500","160000","1192074","193278478500","26510945868000","163647814"
"066575","LG전자우","KOSPI",,"74700","-700","-0.93","75800","76500","73600","107530","8045862000","1283793602400","17185992"
"108670","LG하우시스","KOSPI",,"93300","5400","6.14","88400","94400","88300","328009","30181962400","836683611000","8967670"
"108675","LG하우시스우","KOSPI",,"43350","2600","6.38","41000","47400","40000","137046","6069953950","44751505500","1032330"
"037560","LG헬로비전","KOSPI",,"5180","255","5.18","5040","5640","5020","21685605","114916375610","401174760700","77446865"
"051910","LG화학","KOSPI",,"951000","61000","6.85","915000","965000","913000","1405704","1322061975000","67133318193000","70592343"
"051915","LG화학우","KOSPI",,"447000","25000","5.92","430000","455000","430000","129711","57438489500","3436893600000","7688800"
"079550","LIG넥스원","KOSPI",,"40300","800","2.03","39450","40550","39100","76271","3047270100","886600000000","22000000"
"006260","LS","KOSPI",,"72400","1900","2.70","71200","72800","69900","280778","20182928800","2331280000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"57200","-200","-0.35","57400","58300","57100","89799","5166372600","1716000000000","30000000"
"000680","LS네트웍스","KOSPI",,"2900","0","0.00","2900","2940","2840","39883","114860440","228528746400","78803016"
"229640","LS전선아시아","KOSPI",,"8010","0","0.00","8060","8110","7900","194713","1557552840","245305280790","30624879"
"023150","MH에탄올","KOSPI",,"10400","250","2.46","10200","10450","10050","77479","797054100","76736670400","7378526"
"065150","MP그룹","KOSDAQ","관리종목(소속부없음)","895","0","0.00","0","0","0","0","0","111911308360","125040568"
"035420","NAVER","KOSPI",,"366500","-7000","-1.87","373500","377500","366000","743106","275162050500","60202534267500","164263395"
"160550","NEW","KOSDAQ","중견기업부","13250","650","5.16","12800","13400","11850","1214111","15869426650","369755904500","27906106"
"053290","NE능률","KOSDAQ","벤처기업부","18200","-500","-2.67","18700","19400","17900","1100608","20498429250","300778787400","16526307"
"181710","NHN","KOSPI",,"72700","200","0.28","72300","73000","71600","47682","3456236300","1422377317500","19565025"
"104200","NHN벅스","KOSDAQ","중견기업부","6100","-50","-0.81","6150","6190","6040","16405","100059030","90448055000","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","51600","-1000","-1.90","52500","53200","51500","76963","4013805700","1264342880400","24502769"
"005940","NH투자증권","KOSPI",,"12250","-50","-0.41","12300","12500","12200","872186","10757423150","3447258865750","281408887"
"005945","NH투자증권우","KOSPI",,"10900","-300","-2.68","11200","11250","10800","230374","2534122850","205693551200","18870968"
"338100","NH프라임리츠","KOSPI",,"4490","-20","-0.44","4515","4515","4470","53235","238791670","83783400000","18660000"
"034310","NICE","KOSPI",,"19300","700","3.76","18600","19600","18500","139831","2662204600","731128390000","37882300"
"030190","NICE평가정보","KOSDAQ","우량기업부","22600","-50","-0.22","23000","23800","22450","214475","4922295150","1372154932000","60714820"
"008260","NI스틸","KOSPI",,"5700","10","0.18","5690","6560","5630","23893188","145679559790","163020666900","28600117"
"004250","NPC","KOSPI",,"4460","120","2.76","4310","4470","4300","211261","932794980","163771200000","36720000"
"004255","NPC우","KOSPI",,"2725","35","1.30","2730","2730","2690","11296","30536395","14388000000","5280000"
"010060","OCI","KOSPI",,"126000","-8500","-6.32","137000","137500","125000","813959","105029545000","3005020746000","23849371"
"078590","OQP","KOSDAQ","관리종목(소속부없음)","3890","0","0.00","0","0","0","0","0","306238837930","78724637"
"178920","PI첨단소재","KOSDAQ","우량기업부","48850","-1450","-2.88","50300","50800","48000","458965","22510979300","1434544829700","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","9250","950","11.45","8300","10150","8230","7965525","74497195560","92500000000","10000000"
"005490","POSCO","KOSPI",,"373000","500","0.13","376000","387000","372500","629282","239098535000","32520689455000","87186835"
"218410","RFHIC","KOSDAQ","우량기업부","41600","-50","-0.12","41850","42800","40850","583525","24229036550","992060992000","23847620"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부","35700","2700","8.18","33300","36450","33300","270477","9494335750","128398191600","3596588"
"091340","S&K폴리텍","KOSDAQ","중견기업부","5460","120","2.25","5340","5520","5340","85327","464088640","63902316660","11703721"
"010950","S-Oil","KOSPI",,"88000","-500","-0.56","88200","89000","86600","802379","70641459600","9907285696000","112582792"
"010955","S-Oil우","KOSPI",,"51000","0","0.00","51200","51400","49700","39790","2022646850","205118277000","4021927"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","2115","-100","-4.51","2200","2235","2085","6238091","13376308020","342770806125","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","9140","-160","-1.72","9300","9380","9060","66083","605568250","219799085600","24048040"
"034120","SBS","KOSPI",,"26000","650","2.56","25350","26300","25000","161203","4175370000","474567132000","18252582"
"101060","SBS미디어홀딩스","KOSPI",,"2060","20","0.98","2065","2065","2030","67734","138918950","288186151400","139896190"
"046140","SBS콘텐츠허브","KOSDAQ","중견기업부","7360","-50","-0.67","7470","7480","7270","57056","421325080","157971764800","21463555"
"036120","SCI평가정보","KOSDAQ","중견기업부","4155","-50","-1.19","4235","4245","3900","153981","638797460","147502500000","35500000"
"099220","SDN","KOSDAQ","중견기업부","2955","-40","-1.34","3005","3020","2910","534881","1590670810","142368099870","48178714"
"036540","SFA반도체","KOSDAQ","우량기업부","8030","-80","-0.99","8200","8250","7960","3080232","24987355640","1320616233090","164460303"
"255220","SG","KOSDAQ","우량기업부","2365","-20","-0.84","2360","2410","2320","1039992","2460983480","91307754450","38607930"
"040610","SG&G","KOSDAQ","중견기업부","2775","-100","-3.48","2875","2885","2760","360255","1014279025","94591968900","34087196"
"049470","SGA","KOSDAQ","벤처기업부","1015","-25","-2.40","1030","1040","999","597479","609883230","51462782735","50702249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","1400","10","0.72","1380","1440","1370","447628","625323785","54521047000","38943605"
"224880","SGA클라우드서비스","KONEX","일반기업부","2960","0","0.00","0","0","0","0","0","16037768400","5418165"
"005090","SGC에너지","KOSPI",,"45600","0","0.00","45650","46100","44400","130084","5907269450","669271382400","14677004"
"016250","SGC이테크건설","KOSDAQ","우량기업부","62000","100","0.16","61100","63300","59500","58550","3599156400","125503314000","2024247"
"001380","SG글로벌","KOSPI",,"3970","-160","-3.87","4175","4360","3965","2681079","11212034625","178507647710","44964143"
"004060","SG세계물산","KOSPI",,"755","5","0.67","751","761","737","880321","662868510","152830844800","202424960"
"002360","SH에너지화학","KOSPI",,"1045","20","1.95","1020","1055","1010","2130859","2209163585","116134747850","111133730"
"009160","SIMPAC","KOSPI",,"4185","90","2.20","4105","4260","4105","172777","726233535","273822524460","65429516"
"123700","SJM","KOSPI",,"4330","-15","-0.35","4345","4345","3945","88097","371955610","67569208340","15604898"
"025530","SJM홀딩스","KOSPI",,"3845","-50","-1.28","3860","3865","3815","13780","52909090","57421260760","14934008"
"034730","SK","KOSPI",,"284000","4500","1.61","280000","288000","278000","259674","73782720000","19982324348000","70360297"
"307070","SK4호스팩","KOSDAQ","SPAC(소속부없음)","2060","5","0.24","2065","2065","2050","7299","14988390","10629600000","5160000"
"337450","SK5호스팩","KOSDAQ","SPAC(소속부없음)","2130","-5","-0.23","2105","2140","2105","310","654710","9180300000","4310000"
"340350","SK6호스팩","KOSDAQ","SPAC(소속부없음)","2105","-10","-0.47","2120","2120","2040","11761","24399095","12019550000","5710000"
"011790","SKC","KOSPI",,"142000","6500","4.80","135000","144000","132000","471127","65556740000","5377298316000","37868298"
"018670","SK가스","KOSPI",,"102000","1500","1.49","100500","102000","100000","8836","893719500","941484888000","9230244"
"001740","SK네트웍스","KOSPI",,"5380","60","1.13","5390","5430","5320","584820","3139247620","1335249540860","248187647"
"001745","SK네트웍스우","KOSPI",,"131000","0","0.00","130000","131000","129000","581","75413000","14887888000","113648"
"006120","SK디스커버리","KOSPI",,"58600","100","0.17","58300","59000","57800","55648","3237835300","1115618303000","19037855"
"006125","SK디스커버리우","KOSPI",,"42500","-400","-0.93","42900","43150","42100","11270","480468950","57734337500","1358455"
"210980","SK디앤디","KOSPI",,"37050","-700","-1.85","38150","38150","36850","61535","2293587700","703585576200","18990164"
"068400","SK렌터카","KOSPI",,"11350","-100","-0.87","11450","11500","11150","113591","1281585750","536694284000","47285840"
"036490","SK머티리얼즈","KOSDAQ","우량기업부","335800","-5800","-1.70","341700","346800","334500","31498","10678283300","3541908593400","10547673"
"302440","SK바이오사이언스","KOSPI",,"150500","-13000","-7.95","157500","160500","146000","1864655","285567313000","11513250000000","76500000"
"326030","SK바이오팜","KOSPI",,"111500","-3500","-3.04","115000","115000","111000","315054","35413609500","8731927375000","78313250"
"03473K","SK우","KOSPI",,"259000","-500","-0.19","258500","262000","255000","4711","1220969500","146628965000","566135"
"096770","SK이노베이션","KOSPI",,"275000","5000","1.85","271000","282500","270500","1215321","337356233000","25428030100000","92465564"
"096775","SK이노베이션우","KOSPI",,"193000","500","0.26","193000","198000","191000","23009","4487535500","240946218000","1248426"
"001510","SK증권","KOSPI",,"1035","15","1.47","1030","1035","998","11066348","11277733984","489130826985","472590171"
"001515","SK증권우","KOSPI",,"5500","-130","-2.31","5600","5600","5400","54401","298355900","21518827000","3912514"
"285130","SK케미칼","KOSPI",,"268000","-16500","-5.80","284000","284000","266500","208925","56680590500","3149374128000","11751396"
"28513K","SK케미칼우","KOSPI",,"126000","-4500","-3.45","131000","131000","121500","25340","3178191000","183792420000","1458670"
"017670","SK텔레콤","KOSPI",,"303500","-12500","-3.96","314000","315500","302000","288747","88561359500","24506323288500","80745711"
"000660","SK하이닉스","KOSPI",,"130000","0","0.00","132000","133000","129000","3738266","487221837000","94640307450000","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1730","15","0.87","1715","1750","1710","293657","508254220","163675507600","94610120"
"063440","SM Life Design","KOSDAQ","중견기업부","2980","80","2.76","2985","3125","2955","10309178","31438613735","134484878920","45129154"
"950180","SNK","KOSDAQ","외국기업(소속부없음)","21600","-50","-0.23","21450","22750","21450","186056","4088846750","454934880000","21061800"
"064960","SNT모티브","KOSPI",,"61700","3200","5.47","58700","62500","57700","201584","12268060800","902247491200","14623136"
"100840","SNT에너지","KOSPI",,"18750","600","3.31","18050","18800","18000","73956","1366096450","140750831250","7506711"
"003570","SNT중공업","KOSPI",,"8220","20","0.24","8210","8540","8170","122265","1020420190","273337169340","33252697"
"036530","SNT홀딩스","KOSPI",,"18350","250","1.38","18100","18650","17950","37240","682331900","299176308100","16303886"
"005610","SPC삼립","KOSPI",,"71100","-700","-0.97","71600","72400","71000","16794","1199334500","613522539900","8629009"
"011810","STX","KOSPI",,"7690","190","2.53","7350","7970","7300","582494","4436242520","151699876380","19726902"
"077970","STX엔진","KOSPI",,"15000","700","4.90","14050","15000","14050","538546","7848774750","345133560000","23008904"
"071970","STX중공업","KOSPI",,"6480","1040","19.12","5460","6600","5460","7448247","45714538740","183811524480","28365976"
"002820","SUN&L","KOSPI",,"7200","-10","-0.14","7210","7260","7000","56435","399906900","90777520800","12607989"
"289080","SV인베스트먼트","KOSDAQ","벤처기업부","4495","-60","-1.32","4540","4630","4440","568746","2573619620","239286830000","53234000"
"084870","TBH글로벌","KOSPI",,"1895","-60","-3.07","1935","1940","1895","73965","141368730","39523672005","20856819"
"002710","TCC스틸","KOSPI",,"5260","405","8.34","4855","5300","4855","4224297","21884397460","123610000000","23500000"
"089230","THE E&M","KOSDAQ","중견기업부","1125","-30","-2.60","1170","1170","1115","2279584","2591263905","188833448250","167851954"
"161570","THE MIDONG","KOSDAQ","중견기업부","1820","-5","-0.27","1825","1880","1800","92789","169862465","28360750600","15582830"
