단축종목코드,운용사,ETF명,기초지수,상장일,과세,수익률,총보수,추적오차,괴리율,순자산총액(억),변동성,분류체계,복제방법
A225040,미래에셋자산운용,TIGER 미국S&P500레버리지(합성 H),S&P 500,2015-07-29,배당소득세(보유기간과세),63.88,0.59,0,0.29,0,보통,주식-시장대표,합성
A196030,한국투자신탁운용,KINDEX 일본TOPIX레버리지(H),TOPIX,2014-06-16,배당소득세(보유기간과세),36.83,0.5,0,-0.25,0,보통,주식-시장대표,실물
A225050,미래에셋자산운용,TIGER 유로스탁스레버리지(합성 H),EURO STOXX 50 Index,2015-07-29,배당소득세(보유기간과세),57.89,0.59,0,-0.4,0,낮음,주식-시장대표,합성
A225060,미래에셋자산운용,TIGER 이머징마켓MSCI레버리지(합성 H),MSCI EM Index,2015-07-29,배당소득세(보유기간과세),29.55,0.59,0,0.1,0,낮음,주식-시장대표,합성
