주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"3,290","6,694","7,023","8,508","15,041","36,989","45,571","59,930"
영업이익,218,623,478,636,865,"3,069","4,133","5,120"
영업이익(발표기준),218,623,478,636,865,,,
세전계속사업이익,-15,547,248,420,"-1,710","2,767","3,744","4,730"
당기순이익,-33,462,374,551,"2,789","2,352","3,183","4,020"
  당기순이익(지배),-68,393,213,246,"2,405","2,030","2,740","3,470"
  당기순이익(비지배),36,69,161,305,385,,,
자산총계,"4,481","6,675","9,278","12,832","34,010","42,820","49,400","58,490"
부채총계,"2,637","4,357","4,809","6,945","17,037","23,490","26,990","32,170"
자본총계,"1,844","2,319","4,470","5,887","16,973","19,330","22,410","26,320"
  자본총계(지배),"1,466","1,809","2,752","3,266","11,441","13,480","16,110","19,470"
  자본총계(비지배),378,,"1,718","2,621","5,532",,,
자본금,110,110,110,110,120,120,120,130
영업활동현금흐름,237,123,-150,"1,591","-1,406","6,830","4,810","6,100"
투자활동현금흐름,"-1,029","-1,065","-2,151","-2,248","-4,084","-4,260","-5,030","-4,120"
재무활동현금흐름,805,872,"2,491","1,681","7,043","-1,160",110,-290
CAPEX,842,"1,132","2,143","2,050","4,445","4,000","5,000","4,000"
FCF,-605,"-1,009","-2,293",-459,"-5,852","2,830",-190,"2,100"
이자발생부채,"2,064","2,842","3,716","4,452","10,509",,,
영업이익률,6.62,9.31,6.81,7.48,5.75,8.30,9.07,8.54
순이익률,-1.00,6.90,5.32,6.48,18.55,6.36,6.98,6.71
ROE(%),-4.71,24.03,9.33,8.18,32.70,16.29,18.52,19.50
ROA(%),-0.83,8.28,4.68,4.98,11.91,6.12,6.90,7.45
부채비율,143.02,187.89,107.58,117.96,100.37,121.52,120.44,122.23
자본유보율,"1,227.21","1,537.64","2,391.83","1,994.68","9,173.47",,,
EPS(원),-301,"1,713",926,"1,071","11,326","8,302","11,206","14,192"
PER(배),N/A,19.19,24.13,47.07,10.37,9.79,7.25,5.73
BPS(원),"6,381","7,873","11,980","14,353","47,207","55,621","66,473","80,337"
PBR(배),6.15,4.17,1.87,3.51,2.49,1.46,1.22,1.01
현금DPS(원),0,0,288,288,422,430,430,430
현금배당수익률,0.00,0.00,1.29,0.57,0.36,0.53,0.53,0.53
현금배당성향(%),0.00,0.00,31.14,26.66,4.25,5.18,3.84,3.03
발행주식수(보통주),"22,974,122","22,974,122","22,974,122","22,974,122","24,450,875",,,
