주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"9,209","7,135","11,009","16,276","18,045","19,984","22,227","24,315"
영업이익,"1,537",-252,828,"3,621","1,994","2,648","3,135","3,661"
영업이익(발표기준),"1,537",-252,828,"3,621","1,994",,,
세전계속사업이익,"2,061",244,754,"3,147","1,983","2,715","3,187","3,910"
당기순이익,"1,574",114,650,"2,404","1,526","2,101","2,466","3,038"
  당기순이익(지배),"1,574",114,650,"2,404","1,526","2,101","2,466","3,038"
  당기순이익(비지배),0,0,0,0,0,,,
자산총계,"28,749","29,486","28,489","37,397","39,147","41,735","44,376","47,251"
부채총계,"11,675","13,131","11,830","18,068","18,089","18,993","19,456","19,836"
자본총계,"17,075","16,355","16,659","19,329","21,058","22,742","24,920","27,415"
  자본총계(지배),"17,075","16,355","16,659","19,329","21,058","22,742","24,920","27,415"
  자본총계(비지배),0,,0,0,0,,,
자본금,"1,373","1,405","1,439","1,518","1,550","1,566","1,573","1,581"
영업활동현금흐름,"-1,943","-1,842","-1,638",-226,"-1,753",344,"1,640","3,240"
투자활동현금흐름,"-5,210","2,530","1,642","-1,362",-42,-10,85,241
재무활동현금흐름,"8,653",-831,858,876,"1,878",-95,-176,-523
CAPEX,3,2,3,8,6,0,0,0
FCF,"-1,946","-1,844","-1,641",-234,"-1,759",354,"1,664","3,224"
이자발생부채,113,168,"1,164","2,029","4,049",,,
영업이익률,16.68,-3.53,7.52,22.25,11.05,13.25,14.10,15.05
순이익률,17.10,1.60,5.90,14.77,8.46,10.51,11.09,12.49
ROE(%),13.36,0.68,3.94,13.36,7.56,9.59,10.35,11.61
ROA(%),6.48,0.39,2.24,7.30,3.99,5.20,5.73,6.63
부채비율,68.37,80.29,71.01,93.47,85.90,83.52,78.07,72.36
자본유보율,"1,182.79","1,170.23","1,195.25","1,298.65","1,370.75",,,
EPS(원),"1,127",73,414,"1,526",965,"1,329","1,559","1,921"
PER(배),86.66,947.34,123.07,104.75,83.08,41.17,35.08,28.48
BPS(원),"10,952","10,562","10,715","12,373","13,468","14,661","16,066","17,674"
PBR(배),8.92,6.53,4.76,12.92,5.96,3.73,3.40,3.09
현금DPS(원),0,0,0,0,255,196,196,255
현금배당수익률,0.00,0.00,0.00,0.00,0.32,0.36,0.36,0.47
현금배당성향(%),0.00,0.00,0.00,0.00,26.12,14.77,12.59,13.28
발행주식수(보통주),"155,903,435","156,398,781","157,073,579","157,870,736","158,093,711",,,
