주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"19,204","15,601","15,777","15,512","15,649","18,187","20,254","22,520"
영업이익,"2,361","2,344","2,142","1,673","1,889","2,252","2,575","2,962"
영업이익(발표기준),"2,361","2,344","2,142","1,673","1,889",,,
세전계속사업이익,"2,652","2,242","1,969","1,574","1,798","2,201","2,548","2,973"
당기순이익,"2,033","1,697","1,470","1,186","1,483","1,688","1,956","2,190"
  당기순이익(지배),"1,969","1,579","1,320","1,083","1,169","1,541","1,725","1,970"
  당기순이익(비지배),64,117,150,104,315,,,
자산총계,"18,108","16,605","18,059","17,994","19,044","20,631","22,588","25,130"
부채총계,"8,260","6,575","6,938","5,199","5,041","5,519","5,854","5,590"
자본총계,"9,849","10,030","11,121","12,795","14,004","15,112","16,734","19,540"
  자본총계(지배),"7,773","7,849","8,754","10,355","11,161","12,230","13,598","15,260"
  자본총계(비지배),"2,076",,"2,366","2,440","2,843",,,
자본금,180,180,180,180,180,180,180,180
영업활동현금흐름,"3,766",382,77,"3,351",563,"2,230","2,199","1,730"
투자활동현금흐름,-529,"-1,626",-780,-488,"-1,512",-448,-423,-370
재무활동현금흐름,-60,"-1,339",-500,-678,-556,-506,-503,-460
CAPEX,823,381,419,295,385,372,385,520
FCF,"2,942",0,-342,"3,056",178,"1,737","1,661",
이자발생부채,"2,494","2,499","2,541","1,874","1,827",,,
영업이익률,12.29,15.02,13.58,10.79,12.07,12.38,12.71,13.15
순이익률,10.59,10.88,9.31,7.65,9.48,9.28,9.66,9.72
ROE(%),29.26,20.22,15.90,11.33,10.86,13.17,13.36,13.65
ROA(%),12.26,9.78,8.48,6.58,8.01,8.51,9.05,9.18
부채비율,83.87,65.56,62.39,40.63,36.00,36.52,34.98,28.61
자본유보율,"4,263.51","4,782.20","5,270.90","5,702.87","6,171.05",,,
EPS(원),"5,484","4,399","3,676","3,015","3,254","4,290","4,804","5,486"
PER(배),7.07,7.87,12.58,12.80,11.08,9.22,8.23,7.21
BPS(원),"21,646","23,445","26,125","28,838","31,340","35,440","39,403","44,220"
PBR(배),1.79,1.48,1.77,1.34,1.15,1.12,1.00,0.89
현금DPS(원),"1,245","1,278","1,056",950,"1,170","1,116","1,130","1,170"
현금배당수익률,3.21,3.69,2.28,2.46,3.25,2.82,2.86,2.96
현금배당성향(%),22.70,27.09,26.81,31.51,35.66,26.01,23.52,21.33
발행주식수(보통주),"35,908,760","35,908,760","35,908,760","35,908,760","35,908,760",,,
