,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2014-05-01,1000000,[0],1000000,,0,0,0,0
2014-05-02,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-05,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-06,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-07,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-08,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-09,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-12,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-13,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-14,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-15,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-16,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-19,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-20,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-21,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-22,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-23,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-27,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-28,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-29,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-05-30,1000000,[0],1000000.0,Hold,0.0,0.0,,
2014-06-02,17,[35640],1000000.0,Buy,0.0,0.0,,
2014-06-03,17,[35640],968355.8,Hold,-29.92902296177411,3.1644199999999953,,
2014-06-04,17,[35640],967999.4,Hold,-29.471456284581755,3.2000599999999975,,
2014-06-05,17,[35640],984393.8,Hold,-15.128657877211305,3.2000599999999975,,
2014-06-06,17,[35640],988670.6,Hold,-10.910007427213165,3.2000599999999975,,
2014-06-09,17,[35640],999006.2000000001,Hold,-0.9262410564081835,3.2000599999999975,,
2014-06-10,17,[35640],996155.0,Hold,-3.454255193278144,3.2000599999999975,,
2014-06-11,17,[35640],993303.8,Hold,-5.805933652972072,3.2000599999999975,,
2014-06-12,17,[35640],979760.6,Hold,-16.28017389010892,3.2000599999999975,,
2014-06-13,17,[35640],980473.4,Hold,-15.412922869174183,3.2000599999999975,,
