항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),763.1,927.8,767.8,199.6,29.3,-85.3
*내수,,927.8,767.8,199.6,,
*수출,,,,,,
매출원가,,,,,,
매출총이익,763.1,927.8,767.8,199.6,29.3,-85.3
판매비와관리비,637.7,892.3,788.4,262.8,176.5,-32.9
영업이익,125.5,35.5,-20.6,-63.2,-147.2,-132.9
*기타영업손익,,,,,,
영업이익(발표기준),125.5,35.5,-20.6,-63.2,-147.2,-132.9
*[구K-IFRS]영업이익,,,,,,
금융수익,5.1,5.2,9.1,5.0,40.1,701.0
금융원가,8.3,7.8,6.9,4.9,27.5,462.4
기타영업외손익,6.6,10.4,-0.1,-4.5,6.9,251.6
"종속기업,공동지배기업및관계기업관련손익",,-0.3,,,,
법인세비용차감전계속사업이익,128.8,43.1,-18.5,-67.6,-127.7,-88.8
법인세비용,24.4,-1.8,-1.9,-8.6,-24.9,-188.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,104.4,44.9,-16.6,-59.0,-102.9,-74.3
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,104.4,44.9,-16.6,-59.0,-102.9,-74.3
기타포괄이익,,,,,,
총포괄이익,104.4,44.9,-16.6,-59.0,-102.9,-74.3
*주당계속사업이익,"2,859","1,201",-352,-413,-713,-73
*주당순이익,"2,859","1,201",-352,-413,-713,-73
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"2,859","1,201",-352,-413,-713,-73
*(지배주주지분)주당순이익,"2,859","1,201",-352,-413,-713,-73
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
