항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,162.2","1,287.3","1,483.1","1,690.4","2,004.4",18.6
*내수,"1,083.0",,"1,483.1","1,690.4",,
*수출,79.1,,,,,
매출원가,603.1,657.5,756.5,858.8,"1,019.1",18.7
매출총이익,559.0,629.8,726.6,831.6,985.3,18.5
판매비와관리비,431.9,447.9,489.2,546.2,654.4,19.8
영업이익,127.1,181.9,237.4,285.5,330.9,15.9
*기타영업손익,,,,,,
영업이익(발표기준),127.1,181.9,237.4,285.5,330.9,15.9
*[구K-IFRS]영업이익,,,,,,
금융수익,9.1,13.5,16.0,33.0,30.3,-8.1
금융원가,2.9,7.2,10.8,35.9,7.1,-80.2
기타영업외손익,-21.7,-7.4,5.0,-7.3,-29.1,-297.7
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,111.7,180.7,247.6,275.2,325.1,18.1
법인세비용,15.0,27.3,36.6,37.7,75.1,99.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,96.7,153.4,211.0,237.5,250.0,5.3
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,96.7,153.4,211.0,237.5,250.0,5.3
기타포괄이익,1.5,-2.0,-0.1,-0.5,1.9,465.4
총포괄이익,98.2,151.4,210.9,237.0,251.9,6.3
*주당계속사업이익,370,576,826,935,898,-4
*주당순이익,370,576,826,935,898,-4
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,370,576,826,935,898,-4
*(지배주주지분)주당순이익,370,576,826,935,898,-4
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
