항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,044.6","1,040.3","1,212.7","1,300.3","1,328.4",2.2
*내수,,,"1,212.7","1,300.3",,
*수출,,,,,,
매출원가,483.8,491.8,627.0,702.9,696.4,-0.9
매출총이익,560.8,548.5,585.7,597.4,632.0,5.8
판매비와관리비,461.3,496.6,546.3,555.5,563.8,1.5
영업이익,99.5,51.9,39.3,42.0,68.2,62.7
*기타영업손익,,,,,,
영업이익(발표기준),99.5,51.9,39.3,42.0,68.2,62.7
*[구K-IFRS]영업이익,,,,,,
금융수익,13.8,26.9,18.6,16.9,43.5,157.8
금융원가,36.1,26.7,23.5,46.0,34.6,-24.6
기타영업외손익,13.5,23.5,24.7,64.9,-1.2,-101.9
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,90.8,75.6,59.1,77.7,75.8,-2.4
법인세비용,-1.5,-210.9,-10.7,-16.9,6.3,137.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,92.3,286.5,69.9,94.6,69.5,-26.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,92.3,286.5,69.9,94.6,69.5,-26.5
기타포괄이익,-33.3,-6.7,12.6,-7.3,37.7,613.8
총포괄이익,59.0,279.8,82.5,87.2,107.2,22.9
*주당계속사업이익,651,"1,850",436,586,432,-26
*주당순이익,651,"1,850",436,586,432,-26
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,651,"1,850",436,586,432,-26
*(지배주주지분)주당순이익,651,"1,850",436,586,432,-26
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
