항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),401.7,414.3,448.1,709.3,646.2,-8.9
*내수,,,448.1,,,
*수출,,,,,,
매출원가,230.6,247.6,279.6,421.9,435.5,3.2
매출총이익,171.1,166.8,168.4,287.5,210.8,-26.7
판매비와관리비,133.8,175.2,199.9,261.7,288.0,10.1
영업이익,37.3,-8.4,-31.5,25.8,-77.3,-399.9
*기타영업손익,,,,,,
영업이익(발표기준),37.3,-8.4,-31.5,25.8,-77.3,-399.9
*[구K-IFRS]영업이익,,,,,,
금융수익,1.1,105.2,2.9,12.6,75.4,500.0
금융원가,76.3,13.3,12.6,105.8,44.1,-58.4
기타영업외손익,-6.1,-20.3,-20.9,-3.9,13.0,432.7
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-44.0,63.2,-62.1,-71.4,-33.0,53.8
법인세비용,-9.2,26.0,-16.6,-20.0,-0.9,95.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-34.8,37.2,-45.5,-51.3,-32.1,37.5
중단사업이익,,,,-3.5,-2.0,42.0
*중단사업법인세효과,,,,,,
당기순이익,-34.8,37.2,-45.5,-54.9,-34.1,37.8
기타포괄이익,19.1,-5.2,-7.0,-3.4,9.0,364.3
총포괄이익,-15.7,32.0,-52.5,-58.3,-25.2,56.8
*주당계속사업이익,-309,327,-293,-298,-170,43
*주당순이익,-309,327,-293,-318,-181,43
*희석주당계속사업이익,,,,,-403,
*희석주당순이익,,,,,-413,
*(지배주주지분)주당계속사업이익,-309,327,-293,-298,-170,43
*(지배주주지분)주당순이익,-309,327,-293,-318,-181,43
*(지배주주지분)희석주당계속사업이익,,,,,-403,
*(지배주주지분)희석주당순이익,,,,,-413,
