항목,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),0.6,5.8,45.9,28.9,-37.0
*내수,,,45.9,,
*수출,,,,,
매출원가,0.4,2.9,19.5,9.8,-49.5
매출총이익,0.2,2.9,26.4,19.1,-27.7
판매비와관리비,23.7,76.4,149.9,182.5,21.8
영업이익,-23.5,-73.5,-123.4,-163.4,-32.3
*기타영업손익,,,,,
영업이익(발표기준),-23.5,-73.5,-123.4,-163.4,-32.3
*[구K-IFRS]영업이익,,,,,
금융수익,0.9,2.3,4.0,5.0,24.7
금융원가,61.5,370.0,434.5,7.3,-98.3
기타영업외손익,0.3,0.5,3.2,2.0,-37.4
"종속기업,공동지배기업및관계기업관련손익",,,,,
법인세비용차감전계속사업이익,-83.8,-440.7,-550.7,-163.7,70.3
법인세비용,,,,-9.9,
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,-83.8,-440.7,-550.7,-153.8,72.1
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,-83.8,-440.7,-550.7,-153.8,72.1
기타포괄이익,0.0,-0.0,-1.2,-1.5,-23.0
총포괄이익,-83.8,-440.7,-551.9,-155.3,71.9
*주당계속사업이익,"-1,217","-6,238","-5,138",-959,81
*주당순이익,"-1,217","-6,238","-5,138",-959,81
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,"-1,217","-6,238","-5,138",-959,81
*(지배주주지분)주당순이익,"-1,217","-6,238","-5,138",-959,81
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
