항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),594.8,872.2,561.0,347.9,286.9,-17.5
*내수,239.3,,,78.8,,
*수출,355.5,,,269.1,,
매출원가,404.8,561.2,422.9,287.1,250.8,-12.7
매출총이익,190.0,311.0,138.1,60.8,36.2,-40.5
판매비와관리비,177.1,227.2,154.4,164.3,151.4,-7.9
영업이익,12.9,83.8,-16.4,-103.5,-115.3,-11.3
*기타영업손익,,,,,,
영업이익(발표기준),12.9,83.8,-16.4,-103.5,-115.3,-11.3
*[구K-IFRS]영업이익,,,,,,
금융수익,15.5,8.2,6.3,88.3,31.0,-64.8
금융원가,43.2,27.5,9.1,26.9,55.1,104.9
기타영업외손익,-1.8,-96.6,-43.6,548.8,-77.4,-114.1
"종속기업,공동지배기업및관계기업관련손익",-1.6,-18.3,-14.8,6.7,-5.9,-187.6
법인세비용차감전계속사업이익,-18.2,-50.3,-77.7,513.4,-222.7,-143.4
법인세비용,2.6,19.6,-1.1,94.5,-10.9,-111.6
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-20.8,-69.8,-76.7,418.9,-211.7,-150.5
중단사업이익,-6.2,,46.3,0.0,,
*중단사업법인세효과,,,12.4,,,
당기순이익,-27.0,-69.8,-30.3,418.9,-211.7,-150.5
기타포괄이익,-4.5,0.7,10.9,0.7,56.4,"7,954.3"
총포괄이익,-31.5,-69.2,-19.5,419.6,-155.3,-137.0
*주당계속사업이익,-23,-114,-103,570,-242,-142
*주당순이익,-28,-114,-78,570,-242,-142
*희석주당계속사업이익,,,,562,,
*희석주당순이익,,,,562,,
*(지배주주지분)주당계속사업이익,-23,-114,-103,570,-242,-142
*(지배주주지분)주당순이익,-28,-114,-78,570,-242,-142
*(지배주주지분)희석주당계속사업이익,,,,562,,
*(지배주주지분)희석주당순이익,,,,562,,
