항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),171.4,312.2,786.7,214.3,199.3,-7.0
*내수,,,,214.3,,
*수출,,,,,,
매출원가,160.2,275.0,631.9,175.9,189.2,7.6
매출총이익,11.1,37.2,154.8,38.4,10.0,-73.8
판매비와관리비,113.2,100.1,89.3,120.3,125.7,4.5
영업이익,-102.1,-62.9,65.5,-81.9,-115.7,-41.2
*기타영업손익,,,,,,
영업이익(발표기준),-102.1,-62.9,65.5,-81.9,-115.7,-41.2
*[구K-IFRS]영업이익,,,,,,
금융수익,0.3,17.1,11.6,5.7,0.8,-86.5
금융원가,15.6,24.8,32.8,37.1,35.6,-4.2
기타영업외손익,-44.2,-59.1,56.1,136.2,10.7,-92.1
"종속기업,공동지배기업및관계기업관련손익",,,6.3,16.0,0.8,-94.7
법인세비용차감전계속사업이익,-161.6,-129.7,106.8,38.8,-139.0,-457.8
법인세비용,,-12.8,24.8,12.2,6.7,-45.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-161.6,-116.9,82.0,26.6,-145.6,-647.3
중단사업이익,-5.5,-53.4,10.5,-6.7,,
*중단사업법인세효과,,,,,,
당기순이익,-167.1,-170.3,92.5,19.9,-145.6,-830.7
기타포괄이익,-0.3,1.2,1.0,-4.7,28.5,708.9
총포괄이익,-167.4,-169.1,93.5,15.3,-117.1,-868.1
*주당계속사업이익,-283,-155,539,193,-821,-525
*주당순이익,-293,-230,606,151,-821,-644
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,562,,,
*(지배주주지분)주당계속사업이익,-283,-155,539,193,-821,-525
*(지배주주지분)주당순이익,-293,-230,606,151,-821,-644
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,562,,,
