항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),261.2,329.3,286.2,391.2,498.8,27.5
*내수,,,,239.1,,
*수출,,,,152.2,,
매출원가,199.5,260.8,191.3,296.7,406.0,36.8
매출총이익,61.7,68.5,94.9,94.5,92.8,-1.8
판매비와관리비,44.3,45.1,80.0,80.3,121.8,51.8
영업이익,17.4,23.4,14.9,14.3,-29.0,-303.3
*기타영업손익,,,,,,
영업이익(발표기준),17.4,23.4,14.9,14.3,-29.0,-303.3
*[구K-IFRS]영업이익,,,,,,
금융수익,1.0,1.9,3.9,18.7,4.4,-76.4
금융원가,16.1,11.5,10.3,51.8,26.2,-49.4
기타영업외손익,0.3,-2.0,0.1,-39.9,-0.1,99.7
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,2.6,11.7,8.6,-58.7,-50.9,13.3
법인세비용,0.4,-7.2,-1.0,-10.7,-6.3,41.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,2.2,18.9,9.5,-47.9,-44.6,7.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,2.2,18.9,9.5,-47.9,-44.6,7.0
기타포괄이익,20.0,0.0,0.3,25.8,0.5,-97.9
총포괄이익,22.1,18.9,9.8,-22.2,-44.1,-98.8
*주당계속사업이익,58,514,258,-141,-121,14
*주당순이익,58,514,258,-141,-121,14
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,58,514,258,-141,-121,14
*(지배주주지분)주당순이익,58,514,258,-141,-121,14
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
