항목,2019/12,2020/12,2021/12,전년대비
매출액(수익),,3.0,14.8,399.7
*내수,,,,
*수출,,,,
매출원가,,2.1,10.9,427.6
매출총이익,,0.9,3.8,333.6
판매비와관리비,47.7,73.5,118.2,60.7
영업이익,-47.7,-72.7,-114.4,-57.4
*기타영업손익,,,,
영업이익(발표기준),-47.7,-72.7,-114.4,-57.4
*[구K-IFRS]영업이익,,,,
금융수익,0.6,1.1,28.2,"2,478.8"
금융원가,13.6,17.1,36.7,114.7
기타영업외손익,0.8,-1.1,-0.1,89.6
"종속기업,공동지배기업및관계기업관련손익",,,,
법인세비용차감전계속사업이익,-59.9,-89.7,-123.0,-37.0
법인세비용,0.0,0.0,0.2,"2,781.2"
종속회사매수일전순손익,,,,
처분된종속회사순손익,,,,
계속사업이익,-59.9,-89.7,-123.1,-37.2
중단사업이익,,,,
*중단사업법인세효과,,,,
당기순이익,-59.9,-89.7,-123.1,-37.2
기타포괄이익,-0.8,0.3,-0.3,-188.0
총포괄이익,-60.6,-89.4,-123.4,-38.1
*주당계속사업이익,-3,-4,"-1,571","-39,175"
*주당순이익,-3,-4,"-1,571","-39,175"
*희석주당계속사업이익,,,,
*희석주당순이익,,,,
*(지배주주지분)주당계속사업이익,-3,-4,"-1,571","-39,175"
*(지배주주지분)주당순이익,-3,-4,"-1,571","-39,175"
*(지배주주지분)희석주당계속사업이익,,,,
*(지배주주지분)희석주당순이익,,,,
