항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),933.9,"1,029.4","1,163.8","1,545.4","1,987.1",28.6
*내수,,,,,,
*수출,,,,,,
매출원가,743.8,811.2,935.4,"1,252.8","1,570.2",25.3
매출총이익,190.2,218.1,228.4,292.6,416.8,42.5
판매비와관리비,160.4,180.7,201.8,202.4,240.9,19.0
영업이익,29.8,37.4,26.6,90.2,176.0,95.0
*기타영업손익,,,,,,
영업이익(발표기준),29.8,37.4,26.6,90.2,176.0,95.0
*[구K-IFRS]영업이익,,,,,,
금융수익,16.3,10.8,16.3,24.6,36.5,48.1
금융원가,41.5,37.3,43.8,62.1,47.5,-23.4
기타영업외손익,-83.1,-5.4,-5.5,4.2,0.5,-88.9
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-78.6,5.4,-6.3,57.0,165.4,190.3
법인세비용,0.6,0.7,0.7,4.5,-64.3,"-1,539.6"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-79.2,4.7,-7.0,52.5,229.7,337.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-79.2,4.7,-7.0,52.5,229.7,337.4
기타포괄이익,-16.1,87.7,-7.0,-1.6,151.4,"9,436.2"
총포괄이익,-95.3,92.4,-14.0,50.9,381.1,649.0
*주당계속사업이익,-604,27,-66,345,"1,540",346
*주당순이익,-604,27,-66,345,"1,540",346
*희석주당계속사업이익,,,,341,"1,499",340
*희석주당순이익,,,,341,"1,499",340
*(지배주주지분)주당계속사업이익,-604,27,-66,345,"1,540",346
*(지배주주지분)주당순이익,-604,27,-66,345,"1,540",346
*(지배주주지분)희석주당계속사업이익,,,,341,"1,499",340
*(지배주주지분)희석주당순이익,,,,341,"1,499",340
