항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,532.1","2,149.3","1,238.9",878.9,798.8,-9.1
유동자산,771.8,"1,371.3",548.6,179.2,266.9,48.9
재고자산,128.0,278.6,155.6,104.1,53.3,-48.7
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,8.6,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,78.2,251.6,20.9,10.8,1.2,-88.5
매출채권및기타채권,500.7,674.4,315.1,23.9,82.7,246.0
당기법인세자산(선급법인세),,0.0,0.1,0.1,0.2,121.6
계약자산,,,,,,
반품(환불)자산,,,0.5,0.1,0.1,15.3
배출권,,,,,,
기타유동자산,19.7,74.6,41.2,24.8,3.1,-87.5
현금및현금성자산,45.2,83.5,15.3,15.4,83.0,438.7
매각예정비유동자산및처분자산,,,,,43.1,
비유동자산,760.3,778.0,690.3,699.6,531.9,-24.0
유형자산,539.1,596.5,205.5,22.1,16.7,-24.4
무형자산,76.7,76.1,7.9,84.9,72.5,-14.6
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,18.1,52.7,449.1,426.2,428.9,0.6
장기매출채권및기타채권,33.3,,,161.4,12.6,-92.2
이연법인세자산,67.5,52.6,27.7,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,25.5,0.1,0.1,5.0,1.1,-76.9
기타금융업자산,,,,,,
*순자산1,"1,274.0","1,266.3",532.5,598.3,601.4,0.5
*순자산2,"1,197.3","1,190.2",524.6,513.3,528.8,3.0
부채총계,258.1,883.0,706.4,280.6,197.5,-29.6
유동부채,177.9,412.9,681.8,268.7,190.9,-28.9
단기사채,,,257.4,79.3,33.7,-57.5
단기차입금,100.0,357.1,139.0,90.6,39.6,-56.3
유동성장기부채,,,102.0,14.7,8.1,-44.8
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,0.1,118.5,10.0,26.5,165.8
매입채무및기타채무,70.0,53.7,55.0,63.1,43.4,-31.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),4.9,1.2,1.2,2.0,0.1,-93.8
계약부채,0.3,,,,,
반품(환불)부채,,,0.9,0.1,0.1,2.8
배출부채,,,,,,
기타유동부채,2.7,0.8,7.7,9.1,13.9,53.7
매각예정으로분류된처분자산에포함된부채,,,,,25.5,
비유동부채,80.2,470.1,24.6,11.9,6.5,-44.9
사채,,277.8,,,,
장기차입금,80.0,80.0,0.1,4.3,0.2,-94.6
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,111.9,20.0,6.5,4.5,-31.8
장기매입채무및기타채무,0.2,0.3,4.1,0.1,0.1,0.0
비유동종업원급여충당부채,,,0.4,1.0,,
장기충당부채,,,,,,
이연법인세부채,,,,,1.8,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,180.0,714.9,518.5,195.3,86.0,-56.0
*순부채,58.3,372.8,503.2,179.9,3.0,-98.3
*CAPEX,397.1,87.8,6.9,4.3,2.4,-43.4
자본총계,"1,274.0","1,266.3",532.5,598.3,601.4,0.5
지배주주지분,"1,274.0","1,263.5",541.1,609.6,597.8,-1.9
자본금,132.4,132.6,141.9,184.5,372.1,101.6
신종자본증권,,,,,,
자본잉여금,822.6,828.7,907.7,"1,148.5","1,323.5",15.2
기타자본,-89.8,-77.2,-40.1,-31.1,-30.8,1.0
기타포괄이익누계액,19.8,2.6,-2.1,-8.2,2.7,133.4
이익잉여금,389.0,376.8,-466.5,-684.1,"-1,069.8",-56.4
*(지배)당기순이익,270.8,-12.4,-844.1,-217.7,-385.6,-77.2
비지배주주지분,,2.8,-8.5,-11.4,3.6,131.7
*(비지배)당기순이익,,-2.1,-48.5,-2.9,-12.4,-329.0
수권주식수,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"26,481","26,524","28,382","36,909","74,423",102
보통주,"26,481","26,524","28,382","36,909","74,423",102
우선주,,,,,,
