항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,918.7,"1,267.8","1,667.5","1,959.7","2,666.3",36.0
유동자산,605.4,923.6,991.3,"1,207.7","1,783.5",47.7
재고자산,,,,,,
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,3.2,33.5,50.8,57.3,141.8,147.3
매출채권및기타채권,546.9,729.9,728.1,893.9,"1,331.3",48.9
당기법인세자산(선급법인세),0.9,3.2,6.0,10.9,6.2,-43.1
계약자산,,1.6,24.3,20.4,42.4,108.0
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,26.9,44.4,27.7,42.9,68.6,59.7
현금및현금성자산,27.6,111.0,154.3,182.3,193.3,6.0
매각예정비유동자산및처분자산,,,,,,
비유동자산,313.3,344.3,676.2,752.0,882.8,17.4
유형자산,94.4,104.3,109.1,120.7,191.4,58.6
무형자산,108.7,161.3,149.0,169.5,212.7,25.5
비유동생물자산,,,,,,
투자부동산,34.5,,,,,
투자자산,65.8,66.8,53.2,72.8,58.9,-19.1
장기매출채권및기타채권,4.5,4.0,3.4,2.8,,
이연법인세자산,4.2,6.6,48.9,37.9,30.6,-19.4
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,1.2,1.3,312.6,348.3,389.2,11.8
기타금융업자산,,,,,,
*순자산1,472.0,562.9,470.6,546.5,785.9,43.8
*순자산2,363.3,401.6,321.6,377.0,573.1,52.0
부채총계,446.8,704.9,"1,197.0","1,413.2","1,880.4",33.1
유동부채,426.0,582.7,907.0,"1,118.2","1,665.3",48.9
단기사채,,,,,,
단기차입금,,,,10.0,211.4,"2,014.2"
유동성장기부채,,11.2,104.2,,25.8,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,147.6,179.9,183.1,1.8
매입채무및기타채무,404.4,519.6,622.0,720.3,"1,110.6",54.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,7.1,
당기법인세부채(미지급법인세),0.7,3.6,3.0,6.1,65.8,986.6
계약부채,,32.8,10.7,16.3,54.6,235.9
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,20.9,15.5,19.6,185.7,7.0,-96.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,20.8,122.2,290.0,295.0,215.1,-27.1
사채,,100.6,,,,
장기차입금,,,,,19.8,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,268.5,273.9,167.7,-38.8
장기매입채무및기타채무,0.6,0.7,1.2,6.3,6.3,-0.3
비유동종업원급여충당부채,20.2,20.9,10.9,6.6,3.2,-51.0
장기충당부채,,,1.3,1.3,8.5,554.5
이연법인세부채,,,8.1,6.9,9.5,38.9
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,,111.8,520.3,463.8,607.8,31.1
*순부채,-29.8,-17.8,346.5,263.0,395.5,50.4
*CAPEX,15.9,42.2,58.1,33.3,33.8,1.6
자본총계,472.0,562.9,470.6,546.5,785.9,43.8
지배주주지분,472.0,562.9,470.6,546.5,785.3,43.7
자본금,88.4,143.4,143.4,143.4,143.4,0.0
신종자본증권,,,,,,
자본잉여금,137.9,183.4,183.4,183.4,183.5,0.0
기타자본,-700.4,-703.6,-703.4,-703.3,-702.7,0.1
기타포괄이익누계액,-2.3,-7.3,-0.2,-4.3,18.1,519.6
이익잉여금,948.4,946.9,847.4,927.3,"1,143.0",23.3
*(지배)당기순이익,28.7,14.5,59.1,86.9,234.9,170.3
비지배주주지분,,,,,0.6,
*(비지배)당기순이익,,,,,0.0,
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"16,477","27,477","27,477","27,477","27,477",0
보통주,"16,477","27,477","27,477","27,477","27,477",0
우선주,,,,,,
