항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"3,672.3","3,706.0","3,763.6","4,338.1","4,478.0",3.2
유동자산,"2,345.0","2,278.9","2,354.6","2,227.4","2,202.0",-1.1
재고자산,366.1,437.2,334.3,395.0,362.4,-8.3
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,66.3,62.3,-6.1
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,980.9,630.7,822.4,551.0,548.0,-0.6
매출채권및기타채권,667.9,794.4,801.5,617.5,610.9,-1.1
당기법인세자산(선급법인세),,,0.0,1.8,0.0,-99.7
계약자산,,,,,,
반품(환불)자산,,2.4,3.6,3.2,3.6,13.4
배출권,,,,,,
기타유동자산,14.2,8.1,15.0,6.6,9.9,50.5
현금및현금성자산,315.9,406.1,377.8,586.0,604.8,3.2
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,327.3","1,427.1","1,409.0","2,110.6","2,276.1",7.8
유형자산,"1,037.5",967.7,923.1,"1,251.8","1,396.7",11.6
무형자산,61.4,55.8,54.6,169.7,181.4,6.9
비유동생물자산,,,,,,
투자부동산,,,,94.0,91.3,-2.9
투자자산,219.6,365.0,302.4,497.8,512.9,3.0
장기매출채권및기타채권,,,,,,
이연법인세자산,8.8,38.6,59.8,39.7,61.9,56.2
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,69.1,57.7,31.8,-45.0
기타금융업자산,,,,,,
*순자산1,"2,969.4","2,974.0","2,997.1","3,426.8","3,601.3",5.1
*순자산2,"2,908.1","2,918.2","2,942.4","3,257.1","3,420.0",5.0
부채총계,702.8,732.0,766.5,911.3,876.7,-3.8
유동부채,607.2,608.0,557.1,674.9,664.6,-1.5
단기사채,,,,,,
단기차입금,,,,98.0,45.0,-54.1
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,17.9,30.6,30.9,1.0
매입채무및기타채무,415.8,510.0,401.8,420.9,469.7,11.6
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),138.7,28.5,64.7,62.3,44.8,-28.1
계약부채,,,,,,
반품(환불)부채,46.3,58.4,68.9,58.8,59.2,0.7
배출부채,,,,,,
기타유동부채,6.3,11.0,3.8,4.2,15.0,252.4
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,95.6,124.0,209.3,236.3,212.1,-10.3
사채,,,,,,
장기차입금,,,,,34.6,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,54.2,43.8,18.5,-57.7
장기매입채무및기타채무,2.4,3.9,17.4,24.2,26.4,9.0
비유동종업원급여충당부채,93.2,120.1,137.8,143.6,105.2,-26.7
장기충당부채,,,,,,
이연법인세부채,,,,24.8,27.0,9.2
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,0.4,
기타금융업부채,,,,,,
*이자발생부채,,,69.1,168.4,126.3,-25.0
*순부채,"-1,296.1","-1,036.7","-1,131.1","-1,034.9","-1,088.8",-5.2
*CAPEX,30.3,34.6,48.0,297.1,219.4,-26.1
자본총계,"2,969.4","2,974.0","2,997.1","3,426.8","3,601.3",5.1
지배주주지분,"2,969.4","2,970.9","2,997.1","3,312.6","3,469.3",4.7
자본금,279.3,279.3,279.3,279.3,279.3,0.0
신종자본증권,,,,,,
자본잉여금,270.7,270.7,270.7,270.7,275.4,1.8
기타자본,-25.2,-25.2,-25.2,-25.2,-19.7,22.1
기타포괄이익누계액,45.7,14.6,16.7,85.3,30.9,-63.7
이익잉여금,"2,399.0","2,431.5","2,455.6","2,702.4","2,903.3",7.4
*(지배)당기순이익,470.1,100.7,91.2,285.1,178.7,-37.3
비지배주주지분,,3.1,,114.3,132.0,15.5
*(비지배)당기순이익,,-0.0,-0.1,2.1,17.1,725.6
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"27,931","27,931","27,931","27,931","27,931",0
보통주,"27,931","27,931","27,931","27,931","27,931",0
우선주,,,,,,
