항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"2,020.5","1,941.9","1,947.8","1,131.5","1,185.0",4.7
유동자산,746.4,754.6,612.6,768.7,806.1,4.9
재고자산,183.9,154.6,208.1,178.3,205.5,15.2
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,82.1,48.0,,17.4,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,60.0,22.3,20.6,149.4,98.3,-34.2
매출채권및기타채권,261.4,154.6,253.3,200.2,223.0,11.3
당기법인세자산(선급법인세),,0.5,0.6,0.2,0.1,-19.8
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.1,2.8,7.8,14.8,8.8,-40.9
현금및현금성자산,236.9,337.8,74.3,50.1,253.0,405.5
매각예정비유동자산및처분자산,,,,175.7,,
비유동자산,"1,274.2","1,187.2","1,335.2",362.8,378.9,4.4
유형자산,253.6,260.8,253.8,237.4,231.2,-2.6
무형자산,44.0,19.4,23.0,12.4,5.6,-54.9
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,975.9,906.4,"1,055.8",111.5,137.7,23.5
장기매출채권및기타채권,0.7,0.7,1.3,0.7,2.2,208.1
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,1.3,1.0,2.3,144.3
기타금융업자산,,,,,,
*순자산1,"1,262.6","1,074.5","1,026.0",318.7,875.6,174.8
*순자산2,"1,218.6","1,055.1","1,003.0",306.3,870.0,184.0
부채총계,758.0,867.4,921.9,812.9,309.5,-61.9
유동부채,623.6,769.4,805.1,791.8,280.5,-64.6
단기사채,152.9,504.8,447.8,331.1,46.6,-85.9
단기차입금,325.2,140.5,175.3,128.4,,
유동성장기부채,11.3,7.9,6.9,7.2,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,0.0,32.1,17.7,0.5,30.7,"5,592.2"
매입채무및기타채무,134.0,82.5,154.9,265.5,203.2,-23.5
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),0.1,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.0,1.6,2.7,59.1,0.0,-100.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,134.4,98.0,116.7,21.1,28.9,37.5
사채,,,,,,
장기차입금,14.9,14.3,7.6,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.0,0.5,1.1,145.8
장기매입채무및기타채무,10.7,0.0,,,1.0,
비유동종업원급여충당부채,2.9,5.6,3.8,6.0,5.0,-16.6
장기충당부채,,,,,,
이연법인세부채,105.9,78.1,104.3,14.6,21.8,49.1
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,504.3,667.5,638.9,467.7,48.9,-89.5
*순부채,255.6,234.0,502.9,269.8,-316.3,-217.2
*CAPEX,21.6,32.0,17.5,5.0,7.5,49.6
자본총계,"1,262.6","1,074.5","1,026.0",318.7,875.6,174.8
지배주주지분,"1,262.6","1,074.5","1,026.0",318.7,875.6,174.8
자본금,261.7,282.8,291.0,292.5,796.2,172.2
신종자본증권,,,,,,
자본잉여금,542.8,713.6,827.1,852.1,"1,004.4",17.9
기타자본,,40.7,18.7,6.6,,
기타포괄이익누계액,408.9,243.2,295.3,-30.9,-25.7,16.9
이익잉여금,49.1,-205.8,-406.1,-801.6,-899.3,-12.2
*(지배)당기순이익,41.1,-299.7,-216.2,-430.4,-96.6,77.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","300,000",200
1주당금액,500,500,500,500,500,0
발행주식수,"52,332","56,552","58,194","58,494","159,236",172
보통주,"52,332","56,552","58,194","58,494","159,236",172
우선주,,,,,,
