항목,2021/12
자산총계,"4,020.8"
유동자산,"1,740.0"
재고자산,421.6
유동생물자산,
당기손익-공정가치측정금융자산,
기타포괄손익-공정가치측정금융자산,
상각후원가측정유가증권,
상각후원가측정금융자산,
단기금융자산,
매출채권및기타채권,"1,220.7"
당기법인세자산(선급법인세),4.5
계약자산,
반품(환불)자산,
배출권,
기타유동자산,43.4
현금및현금성자산,49.8
매각예정비유동자산및처분자산,
비유동자산,"2,280.7"
유형자산,"1,715.0"
무형자산,25.1
비유동생물자산,
투자부동산,277.4
투자자산,24.2
장기매출채권및기타채권,238.9
이연법인세자산,
장기당기법인세자산,
계약자산,
반품(환불)자산,
배출권,
기타비유동자산,
기타금융업자산,
*순자산1,603.0
*순자산2,577.8
부채총계,"3,417.8"
유동부채,"2,737.7"
단기사채,235.1
단기차입금,"1,375.7"
유동성장기부채,59.5
당기손익-공정가치측정금융부채,
상각후원가측정금융부채,
유동금융부채,5.9
매입채무및기타채무,"1,041.2"
유동종업원급여충당부채,
단기충당부채,6.3
당기법인세부채(미지급법인세),4.2
계약부채,9.8
반품(환불)부채,
배출부채,
기타유동부채,0.1
매각예정으로분류된처분자산에포함된부채,
비유동부채,680.1
사채,
장기차입금,404.0
당기손익-공정가치측정금융부채,
상각후원가측정금융부채,
비유동금융부채,0.0
장기매입채무및기타채무,35.9
비유동종업원급여충당부채,167.9
장기충당부채,
이연법인세부채,72.3
장기당기법인세부채(미지급법인세),
계약부채,
반품(환불)부채,
배출부채,
기타비유동부채,
기타금융업부채,
*이자발생부채,"2,074.3"
*순부채,"2,024.5"
*CAPEX,50.8
자본총계,603.0
지배주주지분,603.0
자본금,95.0
신종자본증권,
자본잉여금,146.3
기타자본,-0.2
기타포괄이익누계액,274.4
이익잉여금,87.5
*(지배)당기순이익,56.9
비지배주주지분,
*(비지배)당기순이익,
수권주식수,"200,000"
1주당금액,500
발행주식수,"18,994"
보통주,"18,994"
우선주,
