항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,714.3","1,554.2","1,320.4","1,129.4","1,329.1",17.7
유동자산,"1,273.1","1,082.3",833.7,716.0,717.9,0.3
재고자산,349.2,291.8,191.2,115.9,189.1,63.3
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,27.7,11.0,2.5,0.2,33.3,"15,750.9"
매출채권및기타채권,710.6,656.4,548.5,343.7,351.4,2.2
당기법인세자산(선급법인세),4.1,4.0,0.2,0.1,3.7,"4,581.5"
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,15.6,10.6,13.4,10.1,23.8,134.7
현금및현금성자산,165.9,108.5,77.9,246.0,116.5,-52.6
매각예정비유동자산및처분자산,,,,,,
비유동자산,441.2,471.9,486.7,413.4,611.2,47.9
유형자산,175.5,191.4,178.2,159.6,452.6,183.5
무형자산,22.4,21.1,19.6,15.3,14.2,-6.9
비유동생물자산,,,,,,
투자부동산,106.2,109.0,112.6,80.0,18.3,-77.1
투자자산,23.6,31.1,33.0,34.4,30.9,-10.0
장기매출채권및기타채권,74.8,77.8,71.7,70.5,70.3,-0.3
이연법인세자산,32.2,35.9,32.5,27.5,7.9,-71.2
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,6.5,5.6,39.1,26.1,17.0,-35.0
기타금융업자산,,,,,,
*순자산1,602.6,594.6,541.8,452.6,664.1,46.8
*순자산2,580.2,573.5,522.2,437.3,649.9,48.6
부채총계,"1,111.7",959.6,778.6,676.8,664.9,-1.8
유동부채,"1,011.6",854.6,656.4,596.3,575.0,-3.6
단기사채,,,,,,
단기차입금,135.0,135.0,135.0,132.0,82.0,-37.9
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,13.0,12.4,10.3,-17.2
매입채무및기타채무,863.1,697.7,501.2,433.4,466.2,7.6
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),8.9,8.5,,0.1,6.3,"8,159.1"
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,4.6,13.4,7.3,18.4,10.2,-44.4
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,100.1,105.0,122.2,80.5,89.9,11.7
사채,,,,,,
장기차입금,,,,,40.0,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,23.4,11.4,4.2,-62.9
장기매입채무및기타채무,31.5,28.6,30.1,15.1,11.2,-25.7
비유동종업원급여충당부채,60.1,67.5,55.3,34.6,13.1,-62.1
장기충당부채,7.4,8.3,12.5,19.3,21.1,9.7
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,1.1,0.6,0.9,0.3,0.3,7.4
기타금융업부채,,,,,,
*이자발생부채,135.0,135.0,171.3,155.8,136.5,-12.4
*순부채,-58.6,15.5,90.9,-90.5,-10.0,88.9
*CAPEX,49.8,51.5,28.2,14.2,341.9,"2,303.5"
자본총계,602.6,594.6,541.8,452.6,664.1,46.8
지배주주지분,597.2,591.2,541.8,452.6,664.1,46.8
자본금,300.0,300.0,300.0,300.0,300.0,0.0
신종자본증권,,,,,,
자본잉여금,234.9,234.9,234.9,234.9,302.2,28.6
기타자본,-49.1,-49.1,-49.1,-49.1,-7.2,85.3
기타포괄이익누계액,-9.0,-8.5,-10.3,-11.3,-9.7,13.9
이익잉여금,120.3,113.8,66.3,-22.0,78.9,458.4
*(지배)당기순이익,21.6,13.6,-36.4,-88.9,100.2,212.7
비지배주주지분,5.4,3.4,,,,
*(비지배)당기순이익,-1.1,-2.0,-1.3,,,
수권주식수,"130,000","130,000","130,000","130,000","130,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"59,992","59,992","59,992","59,992","59,992",0
보통주,"59,992","59,992","59,992","59,992","59,992",0
우선주,,,,,,
