항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,214.9","1,352.3","1,377.2","1,549.0","1,929.9",24.6
유동자산,634.7,688.7,650.5,644.7,988.9,53.4
재고자산,195.9,156.2,170.2,236.9,252.3,6.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,5.3,,1.8,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,0.2,,,,
단기금융자산,5.0,,,3.2,2.9,-10.2
매출채권및기타채권,216.0,224.3,205.0,195.9,225.1,14.9
당기법인세자산(선급법인세),0.0,,,1.0,,
계약자산,,,,,,
반품(환불)자산,,2.3,1.2,1.1,2.1,89.2
배출권,,,,,,
기타유동자산,19.7,30.8,5.7,1.6,3.9,148.1
현금및현금성자산,198.1,269.7,268.5,203.2,502.6,147.3
매각예정비유동자산및처분자산,,,,,,
비유동자산,580.2,663.6,726.6,904.3,941.0,4.0
유형자산,497.2,578.1,624.6,771.1,796.7,3.3
무형자산,18.7,17.0,19.8,38.4,41.4,7.9
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,37.0,39.3,40.3,50.8,60.4,18.9
장기매출채권및기타채권,16.0,17.0,17.3,17.6,20.7,17.6
이연법인세자산,1.7,,1.1,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,9.5,12.2,23.7,26.6,21.9,-17.7
기타금융업자산,,,,,,
*순자산1,828.3,868.7,905.4,"1,170.4","1,286.9",9.9
*순자산2,809.6,851.7,885.7,"1,132.0","1,245.5",10.0
부채총계,386.6,483.5,471.7,378.6,643.0,69.8
유동부채,354.8,277.9,425.0,184.0,300.1,63.1
단기사채,,,185.6,5.0,,
단기차입금,180.7,115.0,40.0,30.0,82.0,173.3
유동성장기부채,,8.7,8.8,8.9,18.1,104.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,4.3,5.9,4.1,-29.6
매입채무및기타채무,151.1,132.4,157.7,113.7,166.0,46.0
유동종업원급여충당부채,,,,,,
단기충당부채,16.4,15.7,10.0,14.9,23.5,57.9
당기법인세부채(미지급법인세),1.5,1.9,14.2,,2.2,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,5.0,4.2,4.3,5.7,4.2,-25.4
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,31.7,205.7,46.8,194.7,342.9,76.1
사채,,170.1,,92.0,248.4,170.1
장기차입금,13.5,11.7,26.8,53.9,36.2,-32.9
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,0.1,0.1,4.1,4.0,3.1,-24.3
장기매입채무및기타채무,2.6,1.8,3.3,1.9,1.3,-28.2
비유동종업원급여충당부채,15.6,16.9,12.6,24.7,24.9,0.8
장기충당부채,,,,,,
이연법인세부채,,5.0,,18.1,29.0,60.1
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,194.2,305.5,269.4,199.5,391.7,96.3
*순부채,-8.9,30.4,1.0,-5.5,-111.0,"-1,907.1"
*CAPEX,45.0,97.6,80.6,120.5,60.7,-49.6
자본총계,828.3,868.7,905.4,"1,170.4","1,286.9",9.9
지배주주지분,819.6,857.9,886.9,"1,143.6","1,242.8",8.7
자본금,80.4,80.4,80.4,97.1,202.0,108.1
신종자본증권,,,,,,
자본잉여금,327.1,352.6,353.2,534.7,588.0,10.0
기타자본,-26.8,-35.3,-34.9,-43.3,-43.7,-1.0
기타포괄이익누계액,91.2,63.3,61.0,136.0,131.1,-3.6
이익잉여금,347.7,396.9,427.2,419.1,365.4,-12.8
*(지배)당기순이익,45.4,40.2,47.2,12.8,-22.1,-272.5
비지배주주지분,8.7,10.8,18.5,26.8,44.0,64.5
*(비지배)당기순이익,-2.5,2.9,8.4,11.3,12.9,14.6
수권주식수,"20,000","20,000","20,000","20,000","40,000",100
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"7,666","7,666","7,666","9,333","19,825",112
보통주,"6,369","6,369","6,369","8,035","17,232",114
우선주,"1,298","1,298","1,298","1,298","2,592",100
