항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"24,005.6","23,874.7","23,466.4","22,457.3","24,742.7",10.2
유동자산,"9,137.5","9,493.7","9,161.8","8,578.3","10,777.7",25.6
재고자산,"2,721.8","3,227.0","3,315.8","2,661.2","3,746.9",40.8
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,128.2,0.3,0.2,,
상각후원가측정유가증권,,,,,89.3,
상각후원가측정금융자산,,,,,,
단기금융자산,572.1,184.6,121.9,188.4,118.1,-37.3
매출채권및기타채권,"4,382.1","4,179.8","4,222.4","3,846.9","4,918.8",27.9
당기법인세자산(선급법인세),44.8,22.4,12.7,8.9,32.3,261.6
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,243.6,247.8,265.3,303.3,279.2,-7.9
현금및현금성자산,"1,173.0","1,504.0","1,223.5","1,569.4","1,593.1",1.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,"14,868.1","14,381.0","14,304.6","13,879.0","13,965.0",0.6
유형자산,"10,176.2","9,822.2","9,954.6","9,145.1","8,663.4",-5.3
무형자산,187.0,165.7,161.2,150.1,157.2,4.7
비유동생물자산,,,,,,
투자부동산,"1,070.3","1,075.3","1,108.3","1,248.9","1,339.4",7.3
투자자산,"2,708.3","2,581.7","2,951.0","3,122.8","3,651.2",16.9
장기매출채권및기타채권,64.4,87.6,91.6,175.3,96.2,-45.1
이연법인세자산,9.0,9.4,8.1,7.2,2.9,-59.9
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,653.0,639.0,29.7,29.7,54.7,84.0
기타금융업자산,,,,,,
*순자산1,"14,583.0","14,570.8","14,708.5","14,629.4","16,381.1",12.0
*순자산2,"14,396.0","14,405.1","14,547.3","14,479.3","16,223.9",12.1
부채총계,"9,422.6","9,303.9","8,757.9","7,827.9","8,361.6",6.8
유동부채,"7,144.8","6,900.7","6,404.6","5,873.4","6,012.3",2.4
단기사채,,,,,,
단기차입금,"3,850.8","3,793.7","3,594.4","2,905.0","2,599.6",-10.5
유동성장기부채,724.7,289.3,266.8,431.4,100.5,-76.7
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.6,4.8,6.2,30.0
매입채무및기타채무,"2,271.0","2,735.2","2,355.1","2,378.4","3,064.9",28.9
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),37.0,49.6,97.2,72.0,201.4,179.9
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,261.2,32.9,90.5,81.8,39.6,-51.6
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"2,277.8","2,403.2","2,353.3","1,954.5","2,349.4",20.2
사채,,,,,,
장기차입금,685.7,826.4,748.2,375.7,642.0,70.9
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,27.9,48.8,56.8,16.4
장기매입채무및기타채무,136.3,145.8,123.4,77.4,90.8,17.2
비유동종업원급여충당부채,12.3,38.6,60.3,82.3,38.8,-52.9
장기충당부채,,,,,,
이연법인세부채,"1,421.0","1,370.0","1,369.2","1,347.6","1,472.4",9.3
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,22.5,22.5,24.3,22.8,48.6,113.4
기타금융업부채,,,,,,
*이자발생부채,"5,261.2","4,909.4","4,637.9","3,765.7","3,405.1",-9.6
*순부채,"3,636.4","3,106.9","3,307.9","2,127.7","1,619.9",-23.9
*CAPEX,974.0,805.2,483.9,401.0,406.4,1.4
자본총계,"14,583.0","14,570.8","14,708.5","14,629.4","16,381.1",12.0
지배주주지분,"13,656.5","13,640.1","13,564.2","13,569.8","15,277.5",12.6
자본금,180.0,200.0,200.0,200.0,230.0,15.0
신종자본증권,,,,,,
자본잉여금,116.8,120.6,98.9,93.5,82.8,-11.5
기타자본,-1.0,-1.6,-1.6,-1.6,-1.9,-21.4
기타포괄이익누계액,-612.3,-612.2,-141.2,-165.4,94.2,157.0
이익잉여금,"13,973.0","13,933.3","13,408.0","13,443.2","14,872.4",10.6
*(지배)당기순이익,236.9,33.8,-5.7,84.2,"1,298.0","1,441.5"
비지배주주지분,926.5,930.7,"1,144.3","1,059.6","1,103.6",4.2
*(비지배)당기순이익,-12.4,-15.1,-36.4,-56.9,35.1,161.6
수권주식수,"30,000","30,000","30,000","30,000","30,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"18,000","20,000","20,000","20,000","23,000",15
보통주,"18,000","20,000","20,000","20,000","23,000",15
우선주,,,,,,
