항목,"2021/12
(IFRS별도)"
자산총계,"14,425.5"
유동자산,"1,338.4"
재고자산,
유동생물자산,
당기손익-공정가치측정금융자산,
기타포괄손익-공정가치측정금융자산,
상각후원가측정유가증권,
상각후원가측정금융자산,
단기금융자산,400.0
매출채권및기타채권,12.1
당기법인세자산(선급법인세),
계약자산,
반품(환불)자산,
배출권,
기타유동자산,6.7
현금및현금성자산,919.7
매각예정비유동자산및처분자산,
비유동자산,"13,087.1"
유형자산,60.3
무형자산,45.9
비유동생물자산,
투자부동산,
투자자산,"12,911.6"
장기매출채권및기타채권,
이연법인세자산,
장기당기법인세자산,
계약자산,
반품(환불)자산,
배출권,
기타비유동자산,69.3
기타금융업자산,
*순자산1,"14,146.7"
*순자산2,"14,100.8"
부채총계,278.8
유동부채,98.5
단기사채,
단기차입금,
유동성장기부채,
당기손익-공정가치측정금융부채,
상각후원가측정금융부채,
유동금융부채,13.2
매입채무및기타채무,76.4
유동종업원급여충당부채,
단기충당부채,8.9
당기법인세부채(미지급법인세),
계약부채,
반품(환불)부채,
배출부채,
기타유동부채,
매각예정으로분류된처분자산에포함된부채,
비유동부채,180.3
사채,
장기차입금,
당기손익-공정가치측정금융부채,
상각후원가측정금융부채,
비유동금융부채,1.4
장기매입채무및기타채무,
비유동종업원급여충당부채,7.3
장기충당부채,
이연법인세부채,171.6
장기당기법인세부채(미지급법인세),
계약부채,
반품(환불)부채,
배출부채,
기타비유동부채,
기타금융업부채,
*이자발생부채,14.6
*순부채,"-1,305.1"
*CAPEX,69.1
자본총계,"14,146.7"
지배주주지분,"14,146.7"
자본금,777.5
신종자본증권,
자본잉여금,"11,832.1"
기타자본,-8.2
기타포괄이익누계액,140.2
이익잉여금,"1,405.1"
*(지배)당기순이익,"1,428.7"
비지배주주지분,
*(비지배)당기순이익,
수권주식수,"800,000"
1주당금액,"1,000"
발행주식수,"77,746"
보통주,"76,281"
우선주,"1,465"
