항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,911.9","1,967.4","2,084.7","2,075.4","2,272.4",9.5
유동자산,731.5,751.3,790.9,763.5,991.1,29.8
재고자산,361.3,396.1,435.7,422.6,524.2,24.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,,,17.1,1.9,3.9,105.5
매출채권및기타채권,285.7,297.6,279.1,293.4,382.7,30.4
당기법인세자산(선급법인세),0.1,0.0,,0.4,0.0,-96.9
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,8.9,25.8,20.9,24.8,35.6,43.5
현금및현금성자산,75.5,31.8,38.0,20.4,44.6,118.3
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,180.4","1,216.2","1,293.9","1,311.9","1,281.2",-2.3
유형자산,"1,130.7","1,134.4","1,201.7","1,218.0","1,188.8",-2.4
무형자산,0.4,21.5,20.0,16.1,9.7,-39.8
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,43.0,45.7,30.6,34.1,34.3,0.6
장기매출채권및기타채권,,,,,,
이연법인세자산,,0.1,0.2,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,6.3,14.5,41.3,43.7,48.4,10.8
기타금융업자산,,,,,,
*순자산1,"1,042.6","1,056.6","1,088.3","1,103.9","1,220.3",10.5
*순자산2,"1,042.2","1,035.1","1,068.3","1,087.9","1,210.6",11.3
부채총계,869.2,910.8,996.4,971.5,"1,052.1",8.3
유동부채,720.8,760.5,863.7,791.0,926.2,17.1
단기사채,,,,,,
단기차입금,492.6,531.5,616.1,561.1,549.5,-2.1
유동성장기부채,80.0,48.8,13.1,20.0,26.7,33.3
당기손익-공정가치측정금융부채,,10.0,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,6.3,9.9,12.4,6.1,-50.4
매입채무및기타채무,147.9,158.5,215.7,189.9,302.9,59.5
유동종업원급여충당부채,,,,,,
단기충당부채,,2.2,1.6,1.9,3.7,95.1
당기법인세부채(미지급법인세),,2.3,6.3,4.6,34.2,643.4
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.3,1.1,1.0,1.2,3.0,158.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,148.4,150.3,132.7,180.5,125.9,-30.3
사채,,,,,,
장기차입금,61.9,33.1,20.0,80.0,53.3,-33.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,16.0,9.9,3.5,2.0,-44.0
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,27.1,29.9,27.6,24.0,4.2,-82.3
장기충당부채,,,,,,
이연법인세부채,59.4,62.4,67.3,65.8,60.1,-8.7
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,8.8,8.0,7.1,6.2,-12.2
기타금융업부채,,,,,,
*이자발생부채,634.5,645.7,669.0,677.0,637.7,-5.8
*순부채,559.0,613.9,631.0,656.6,593.0,-9.7
*CAPEX,21.7,62.8,107.5,127.5,86.2,-32.4
자본총계,"1,042.6","1,056.6","1,088.3","1,103.9","1,220.3",10.5
지배주주지분,"1,042.6","1,056.6","1,088.3","1,103.9","1,220.3",10.5
자본금,55.0,55.0,55.0,55.0,55.0,0.0
신종자본증권,,,,,,
자본잉여금,47.5,47.5,47.5,47.5,47.5,0.0
기타자본,,,,,,
기타포괄이익누계액,,,,,,
이익잉여금,940.1,954.1,985.8,"1,001.4","1,117.8",11.6
*(지배)당기순이익,1.2,27.7,49.5,35.1,121.5,246.1
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"30,000","30,000","30,000","30,000","30,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"11,000","11,000","11,000","11,000","11,000",0
보통주,"11,000","11,000","11,000","11,000","11,000",0
우선주,,,,,,
