항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,341.0","1,281.6","1,252.3","1,370.4","1,586.4",15.8
유동자산,790.7,706.1,669.8,773.9,971.7,25.6
재고자산,191.4,195.5,182.7,201.3,319.1,58.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,25.5,22.6,62.1,89.7,142.3,58.6
매출채권및기타채권,467.1,375.6,354.7,379.6,398.4,5.0
당기법인세자산(선급법인세),0.2,0.6,1.2,0.6,0.1,-81.2
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,3.8,5.4,2.9,2.3,0.3,-85.2
현금및현금성자산,102.8,106.5,66.1,100.4,111.5,11.1
매각예정비유동자산및처분자산,,,,,,
비유동자산,550.3,575.4,582.5,596.5,614.7,3.0
유형자산,381.6,381.8,285.0,273.2,290.9,6.5
무형자산,8.4,7.2,6.7,6.4,11.3,76.7
비유동생물자산,,,,,,
투자부동산,,,77.1,72.2,68.8,-4.7
투자자산,157.5,181.0,171.0,211.5,213.5,0.9
장기매출채권및기타채권,2.4,2.4,2.3,0.8,1.5,79.1
이연법인세자산,0.3,0.7,0.8,1.0,1.1,12.1
장기당기법인세자산,,,,,,
계약자산,,2.3,1.2,1.6,1.9,17.4
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,38.3,29.7,25.7,-13.6
기타금융업자산,,,,,,
*순자산1,511.3,590.1,613.2,677.0,868.8,28.3
*순자산2,502.9,582.8,606.4,670.5,857.4,27.9
부채총계,829.7,691.5,639.1,693.4,717.6,3.5
유동부채,675.8,541.5,473.3,512.6,555.4,8.3
단기사채,,,,,,
단기차입금,265.1,190.3,157.7,128.5,97.4,-24.2
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,8.0,8.5,9.6,13.3
매입채무및기타채무,405.0,340.6,306.2,360.3,412.2,14.4
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),4.5,10.6,1.2,5.3,26.5,398.0
계약부채,,0.0,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,1.2,0.1,0.1,10.0,9.7,-3.8
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,153.9,150.0,165.8,180.8,162.2,-10.3
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,31.2,24.5,19.4,-20.6
장기매입채무및기타채무,0.3,0.9,0.7,1.2,2.6,112.2
비유동종업원급여충당부채,130.2,136.6,124.0,142.3,117.9,-17.1
장기충당부채,4.2,0.9,1.3,0.9,1.1,23.8
이연법인세부채,19.1,6.3,6.2,8.6,18.4,113.6
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,5.3,2.5,3.3,2.7,-16.8
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,265.1,190.3,196.9,161.5,126.4,-21.7
*순부채,140.2,66.8,71.4,-27.4,-126.0,-359.5
*CAPEX,12.4,25.6,19.3,33.5,47.3,41.3
자본총계,511.3,590.1,613.2,677.0,868.8,28.3
지배주주지분,357.8,424.3,440.8,490.8,651.6,32.8
자본금,66.1,66.1,66.1,66.1,66.1,0.0
신종자본증권,,,,,,
자본잉여금,90.5,90.5,90.5,90.5,90.5,0.0
기타자본,,,,,,
기타포괄이익누계액,110.2,127.1,123.5,153.0,173.4,13.4
이익잉여금,90.9,140.6,160.7,181.1,321.5,77.5
*(지배)당기순이익,85.5,55.9,30.4,42.1,140.9,234.6
비지배주주지분,153.5,165.7,172.3,186.2,217.2,16.6
*(비지배)당기순이익,15.4,14.5,5.3,15.6,13.7,-12.2
수권주식수,"20,000","20,000","20,000","20,000","20,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"6,614","6,614","6,614","6,614","6,614",0
보통주,"6,614","6,614","6,614","6,614","6,614",0
우선주,,,,,,
