항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,120.4","1,259.0","1,324.4","1,675.7","2,141.3",27.8
유동자산,448.0,580.4,640.5,811.5,"1,111.8",37.0
재고자산,191.5,201.9,225.6,437.4,346.5,-20.8
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,0.0,,,,
단기금융자산,5.0,50.0,,3.8,10.7,182.7
매출채권및기타채권,26.6,42.9,43.0,106.0,20.9,-80.3
당기법인세자산(선급법인세),,,,,9.0,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,5.0,4.4,18.2,38.9,109.4,181.4
현금및현금성자산,219.9,281.2,353.6,225.4,615.3,173.0
매각예정비유동자산및처분자산,,,,,,
비유동자산,672.4,678.6,683.9,864.2,"1,029.4",19.1
유형자산,504.7,624.2,604.0,758.3,770.2,1.6
무형자산,27.0,34.1,32.4,63.2,60.9,-3.6
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,140.6,5.8,26.4,19.3,160.3,730.3
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,0.7,16.8,"2,450.0"
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,14.4,21.1,22.7,21.2,-6.7
기타금융업자산,,,,,,
*순자산1,857.0,-571.9,-588.2,348.3,"1,168.2",235.4
*순자산2,829.9,-606.0,-620.6,285.1,"1,107.2",288.4
부채총계,263.4,"1,830.9","1,912.5","1,327.4",973.1,-26.7
유동부채,159.1,178.5,211.7,894.4,927.6,3.7
단기사채,,,,,,
단기차입금,1.2,,,,,
유동성장기부채,33.9,33.9,29.0,24.7,14.2,-42.4
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,0.5,,1.5,3.2,3.5,10.7
매입채무및기타채무,52.4,78.1,93.5,731.9,765.1,4.5
유동종업원급여충당부채,,,,,,
단기충당부채,,0.8,1.1,2.1,1.8,-14.4
당기법인세부채(미지급법인세),18.7,61.7,11.0,99.1,18.3,-81.6
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,52.4,4.1,75.6,33.4,124.7,273.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,104.4,"1,652.3","1,700.8",433.0,45.5,-89.5
사채,,455.1,489.2,368.8,,
장기차입금,95.4,61.5,32.5,48.7,34.5,-29.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,454.5,493.5,5.3,3.7,-30.6
장기매입채무및기타채무,2.5,631.0,644.0,0.6,,
비유동종업원급여충당부채,1.2,1.8,5.1,6.3,5.8,-8.0
장기충당부채,,0.2,1.4,1.2,1.5,31.9
이연법인세부채,5.3,48.3,35.2,2.1,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,130.5,"1,005.0","1,045.7",450.8,55.9,-87.6
*순부채,-94.1,673.8,692.1,221.5,-569.5,-357.1
*CAPEX,116.5,76.9,30.8,203.4,92.3,-54.6
자본총계,857.0,-571.9,-588.2,348.3,"1,168.2",235.4
지배주주지분,857.0,-571.9,-588.2,348.3,"1,168.2",235.4
자본금,20.0,20.0,20.0,39.4,55.3,40.5
신종자본증권,,,,,,
자본잉여금,,,,668.8,"1,399.5",109.3
기타자본,,"-1,634.3","-1,634.3","-1,633.6","-1,630.3",0.2
기타포괄이익누계액,,-0.1,1.8,1.8,-7.4,-509.4
이익잉여금,837.0,"1,042.5","1,024.4","1,271.9","1,351.1",6.2
*(지배)당기순이익,193.1,204.3,-17.9,247.1,48.4,-80.4
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,320,"100,000","100,000","100,000","100,000",0
1주당금액,"10,000","10,000","10,000","10,000",200,-98
발행주식수,200,335,335,394,"27,674","6,924"
보통주,200,200,200,394,"27,674","6,924"
우선주,,135,135,,,
