항목,2021/12
자산총계,"226,391.4"
유동자산,"29,671.6"
재고자산,370.7
유동생물자산,
당기손익-공정가치측정금융자산,"1,925.2"
기타포괄손익-공정가치측정금융자산,
상각후원가측정유가증권,
상각후원가측정금융자산,
단기금융자산,"8,337.6"
매출채권및기타채권,"11,514.8"
당기법인세자산(선급법인세),19.4
계약자산,354.4
반품(환불)자산,
배출권,
기타유동자산,727.8
현금및현금성자산,"6,421.8"
매각예정비유동자산및처분자산,
비유동자산,"196,719.8"
유형자산,"8,052.9"
무형자산,"25,033.7"
비유동생물자산,
투자부동산,
투자자산,"161,513.7"
장기매출채권및기타채권,454.5
이연법인세자산,"1,289.1"
장기당기법인세자산,
계약자산,
반품(환불)자산,
배출권,
기타비유동자산,376.0
기타금융업자산,
*순자산1,"168,552.9"
*순자산2,"143,519.3"
부채총계,"57,838.5"
유동부채,"25,173.7"
단기사채,
단기차입금,"1,209.1"
유동성장기부채,300.0
당기손익-공정가치측정금융부채,
상각후원가측정금융부채,
유동금융부채,"1,441.4"
매입채무및기타채무,"21,623.6"
유동종업원급여충당부채,
단기충당부채,10.5
당기법인세부채(미지급법인세),139.4
계약부채,443.9
반품(환불)부채,
배출부채,
기타유동부채,5.7
매각예정으로분류된처분자산에포함된부채,
비유동부채,"32,664.8"
사채,"2,659.3"
장기차입금,"17,034.2"
당기손익-공정가치측정금융부채,
상각후원가측정금융부채,
비유동금융부채,"2,134.9"
장기매입채무및기타채무,299.5
비유동종업원급여충당부채,"1,346.8"
장기충당부채,47.9
이연법인세부채,"8,794.1"
장기당기법인세부채(미지급법인세),
계약부채,83.9
반품(환불)부채,
배출부채,
기타비유동부채,264.3
기타금융업부채,
*이자발생부채,"23,656.5"
*순부채,"6,997.5"
*CAPEX,521.2
자본총계,"168,552.9"
지배주주지분,"166,603.6"
자본금,141.5
신종자본증권,
자본잉여금,"69,121.0"
기타자본,"88,938.4"
기타포괄이익누계액,"4,715.2"
이익잉여금,"3,687.6"
*(지배)당기순이익,"3,752.0"
비지배주주지분,"1,949.4"
*(비지배)당기순이익,-120.5
수권주식수,"430,000"
1주당금액,100
발행주식수,"141,468"
보통주,"141,468"
우선주,
