항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"1,106.6","1,231.9","1,356.2","1,406.8","1,607.5",14.3
유동자산,187.6,197.0,510.6,520.0,622.6,19.8
재고자산,21.6,27.1,17.7,15.9,18.3,14.9
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,0.2,1.6,0.6,0.1,-82.1
상각후원가측정금융자산,,,,,,
단기금융자산,5.2,15.9,279.8,350.6,440.2,25.5
매출채권및기타채권,109.4,108.8,106.8,98.7,101.7,3.0
당기법인세자산(선급법인세),0.0,0.0,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,5.0,1.7,3.5,0.8,4.1,394.3
현금및현금성자산,46.3,26.2,101.2,53.3,58.4,9.6
매각예정비유동자산및처분자산,,17.0,,,,
비유동자산,919.1,"1,035.0",845.6,886.8,984.8,11.1
유형자산,469.6,557.5,343.8,364.3,415.7,14.1
무형자산,4.2,,,4.2,4.5,6.1
비유동생물자산,,,,,,
투자부동산,17.0,,9.8,9.6,22.8,136.8
투자자산,417.9,474.7,485.3,499.1,534.2,7.0
장기매출채권및기타채권,4.0,2.8,2.8,2.8,4.3,53.8
이연법인세자산,6.2,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,3.9,6.8,3.3,-51.0
기타금융업자산,,,,,,
*순자산1,974.6,"1,080.0","1,184.9","1,242.0","1,409.8",13.5
*순자산2,970.3,"1,080.0","1,184.9","1,237.8","1,405.4",13.5
부채총계,132.0,152.0,171.3,164.8,197.6,19.9
유동부채,95.1,90.5,97.9,91.1,104.8,15.1
단기사채,,,,,,
단기차입금,10.0,10.0,,,,
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.8,1.3,1.6,23.4
매입채무및기타채무,82.6,72.6,70.1,76.6,75.8,-1.0
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),2.3,5.7,27.0,13.2,27.3,107.8
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.2,2.2,0.0,0.0,0.0,685.4
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,36.9,61.5,73.4,73.7,92.8,26.0
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,3.0,2.7,3.6,31.6
장기매입채무및기타채무,,,0.5,0.5,0.5,0.0
비유동종업원급여충당부채,1.3,0.3,7.4,0.3,1.9,477.8
장기충당부채,,,,,,
이연법인세부채,35.6,61.2,62.5,70.1,86.8,23.8
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,10.0,10.0,3.8,4.1,3.4,-15.8
*순부채,-41.6,-27.6,-374.0,-399.8,-494.6,-23.7
*CAPEX,15.8,12.2,8.4,36.3,46.3,27.6
자본총계,974.6,"1,080.0","1,184.9","1,242.0","1,409.8",13.5
지배주주지분,974.6,"1,080.0","1,184.9","1,242.0","1,407.6",13.3
자본금,58.0,58.0,58.0,58.0,58.0,0.0
신종자본증권,,,,,,
자본잉여금,120.9,120.9,120.9,120.9,121.4,0.4
기타자본,,-4.0,-8.1,-12.5,-12.5,0.0
기타포괄이익누계액,160.1,239.9,241.4,244.2,308.6,26.4
이익잉여금,635.5,665.1,772.7,831.4,932.1,12.1
*(지배)당기순이익,16.4,29.1,98.2,77.3,109.1,41.1
비지배주주지분,,,,,2.2,
*(비지배)당기순이익,,,,,,
수권주식수,"24,000","24,000","24,000","24,000","24,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"11,600","11,600","11,600","11,600","11,600",0
보통주,"11,600","11,600","11,600","11,600","11,600",0
우선주,,,,,,
