,항목,2020,2020,2021,2021(E) 연간컨센서스닫기
0,펼치기 ESR켄달스퀘어리츠,,,26.79,
1,매출액<당기>,,237,301,
2,매출액<전기>,,,237,301
3,펼치기 은행,15.02,15.02,-1.46,-1.52
4,매출액<당기>,"2,024,004","2,024,004","1,987,289","47,181"
5,매출액<전기>,"1,749,388","1,749,388","2,024,004","2,024,004"
6,펼치기 코스피,-0.39,-0.39,16.04,16.65
7,매출액<당기>,"25,228,013","25,228,013","29,244,221","23,007,473"
8,매출액<전기>,"25,605,529","25,605,529","25,228,013","25,228,013"
