,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DL이앤씨,,,,3.22
1,매출액<당기>,,,"76,317","78,777"
2,매출액<전기>,,,,"76,317"
3,"펼치기 건설,건축관련",,2.66,8.97,8.75
4,매출액<당기>,,"1,161,867","1,329,837","1,041,248"
5,매출액<전기>,,"1,231,672","1,161,867","1,329,837"
6,펼치기 코스피,,-0.39,16.04,12.96
7,매출액<당기>,,"25,228,013","29,244,221","26,647,666"
8,매출액<전기>,,"25,605,529","25,228,013","29,244,221"
